label,flow3d,lbm,offset_m,t_liq_K,n_f3d_pts,n_f3d_in_lbm,n_lbm_iso_verts,haus_um,chamfer_um,dAB_max_um,dBA_max_um,surface_T_rms_K,surface_T_p95_K,surface_T_maxerr_K,surface_T_n_valid,surface_T_n_total,pool_L_F3D_um,pool_W_F3D_um,pool_D_F3D_um,Tmax_F3D_K,n_pts_above_Tliq_F3D,pool_L_LBM_um,pool_W_LBM_um,pool_D_LBM_um,Tmax_LBM_K,n_cells_above_Tliq_LBM,vmax_LBM_m_s
m8_50us,150WV800mms-50um_3.vtk,line_scan_000625.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,798504,47784,47671,62.7689,2.63355,62.7689,21.5966,637.397,1911.6,3390.49,47784,47784,119.951,90.1524,92.7105,3691.85,5513,96,94,26,3720.7,8004,0.123566
m8_97us,150WV800mms-50um_5.vtk,line_scan_001250.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799128,47940,50939,48.1979,2.3928,48.1979,19.6954,678.157,1828.39,3523.82,47940,47940,140.399,85.1583,94.7023,4139.97,5685,126,108,50,3742.43,18897,0.163122
m8_155us,150WV800mms-50um_8.vtk,line_scan_001875.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799320,48204,49635,39.2276,2.50947,39.2276,25.4987,605.32,1646.1,3331.92,48204,48204,179.992,93.1991,90.6635,3801.94,6551,146,114,58,3663.03,28906,0.177198
m8_194us,150WV800mms-50um_10.vtk,line_scan_002500.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799692,48381,50616,28.1428,2.34251,14.9404,28.1428,501.455,1263.68,3144.45,48381,48381,215,100.271,80.4983,4261.95,6625,168,114,64,3791.06,37744,0.214141
m8_252us,150WV800mms-50um_13.vtk,line_scan_003125.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799380,48660,51465,24.5554,2.55924,19.2886,24.5554,590.744,1530.38,3145.62,48660,48660,231.375,95.1573,72.7845,3827.99,6852,186,114,72,3678.65,45365,0.175115
m8_291us,150WV800mms-50um_15.vtk,line_scan_003750.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799632,48912,51648,22.8433,2.52782,16.9213,22.8433,616.777,1484.62,2698.96,48912,48912,265.09,85.174,74.4726,3751.79,7262,200,116,74,3643.02,51464,0.156002
m8_350us,150WV800mms-50um_18.vtk,line_scan_004375.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,800268,49075,51509,29.5705,2.91043,27.7605,29.5705,649.497,1516.41,2909.52,49075,49075,300.294,75.5025,92.4499,3544.95,7788,216,116,78,3759.83,57390,0.179443
