label,flow3d,lbm,offset_m,t_liq_K,n_f3d_pts,n_f3d_in_lbm,n_lbm_iso_verts,haus_um,chamfer_um,dAB_max_um,dBA_max_um,surface_T_rms_K,surface_T_p95_K,surface_T_maxerr_K,surface_T_n_valid,surface_T_n_total,pool_L_F3D_um,pool_W_F3D_um,pool_D_F3D_um,Tmax_F3D_K,n_pts_above_Tliq_F3D,pool_L_LBM_um,pool_W_LBM_um,pool_D_LBM_um,Tmax_LBM_K,n_cells_above_Tliq_LBM,crater_L_LBM_um,crater_W_LBM_um,crater_D_LBM_um,n_crater_cells_LBM,vmax_LBM_m_s
m12_50us,150WV800mms-50um_3.vtk,line_scan_000625.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,798504,47784,47770,59.0601,2.5743,59.0601,20.2466,638.751,1912.27,3390.85,47784,47784,119.951,90.1524,92.7105,3691.85,5513,96,90,28,3733.7,7830,64,70,18,3112,0.146384
m12_97us,150WV800mms-50um_5.vtk,line_scan_001250.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799128,47940,49344,46.2555,2.33227,46.2555,18.7762,651.27,1748.41,3375.01,47940,47940,140.399,85.1583,94.7023,4139.97,5685,124,106,52,3912.83,20175,110,100,38,10194,0.188268
m12_155us,150WV800mms-50um_8.vtk,line_scan_001875.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799320,48204,50750,32.2387,2.48768,32.2387,28.5532,582.133,1593.03,3310.23,48204,48204,179.992,93.1991,90.6635,3801.94,6551,146,110,68,3845,31862,150,98,50,16438,0.193306
m12_194us,150WV800mms-50um_10.vtk,line_scan_002500.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799692,48381,51006,27.3491,2.3334,14.9705,27.3491,483.052,1213.76,2765.1,48381,48381,215,100.271,80.4983,4261.95,6625,166,110,80,3701.24,41395,188,106,64,21645,0.240139
m12_252us,150WV800mms-50um_13.vtk,line_scan_003125.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799380,48660,51652,39.1013,2.87248,22.4415,39.1013,571.273,1529.36,3135.59,48660,48660,231.375,95.1573,72.7845,3827.99,6852,186,110,84,3786.66,50082,228,106,66,26741,0.214953
m12_291us,150WV800mms-50um_15.vtk,line_scan_003750.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,799632,48912,51924,34.2475,2.76399,23.3751,34.2475,575.332,1426.81,2676.21,48912,48912,265.09,85.174,74.4726,3751.79,7262,204,110,84,3655.27,58358,268,106,68,31274,0.235012
m12_350us,150WV800mms-50um_18.vtk,line_scan_004375.vtk,"0.0001;7.5e-05;7.75e-05",1697.15,800268,49075,52156,38.1378,3.1943,28.2376,38.1378,623.043,1503.76,2835.55,49075,49075,300.294,75.5025,92.4499,3544.95,7788,220,110,84,3809.78,66173,308,108,66,35811,0.194027
