k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00012787e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00013611e+02,0.00000000e+00,0.00000000e+00,-1.33648649e-15,3.34121633e-15,-1.35653384e-13,1.35701102e-13
2,7.50,1.00000000e+00,3.00015106e+02,0.00000000e+00,0.00000000e+00,9.35540521e-15,-4.00945925e-15,-1.75747980e-13,1.76042476e-13
3,11.25,1.00000000e+00,3.00017639e+02,0.00000000e+00,0.00000000e+00,1.53695941e-14,2.94027023e-14,-1.46345270e-13,1.50058934e-13
4,15.00,1.00000000e+00,3.00021332e+02,0.00000000e+00,0.00000000e+00,2.00472980e-14,3.94263513e-14,-1.43004057e-13,1.49687988e-13
5,18.75,1.00000000e+00,3.00026459e+02,0.00000000e+00,0.00000000e+00,1.20283786e-14,2.53932431e-14,-1.69733788e-13,1.72043762e-13
6,22.50,1.00000000e+00,3.00033539e+02,0.00000000e+00,0.00000000e+00,-1.00236490e-14,1.26966215e-14,-2.05818923e-13,2.06453642e-13
7,26.25,1.00000000e+00,3.00042999e+02,0.00000000e+00,0.00000000e+00,-4.00945925e-15,-1.20283786e-14,-2.47918250e-13,2.48242236e-13
8,30.00,1.00000000e+00,3.00055603e+02,0.00000000e+00,0.00000000e+00,1.26966215e-14,-2.07155409e-14,-2.77320945e-13,2.78383273e-13
9,33.75,1.00000000e+00,3.00072205e+02,0.00000000e+00,0.00000000e+00,1.47013512e-14,1.40331082e-14,-3.39467576e-13,3.40075407e-13
10,37.50,1.00000000e+00,3.00093933e+02,0.00000000e+00,0.00000000e+00,-1.13601348e-14,3.34121633e-14,-3.40804045e-13,3.42626345e-13
11,41.25,1.00000000e+00,3.00121948e+02,0.00000000e+00,0.00000000e+00,-3.14074328e-14,8.01891851e-15,-3.16747307e-13,3.18401609e-13
12,45.00,1.00000000e+00,3.00158142e+02,0.00000000e+00,0.00000000e+00,-2.00472980e-14,-1.26966215e-14,-3.25434449e-13,3.26298450e-13
13,48.75,1.00000000e+00,3.00204285e+02,0.00000000e+00,0.00000000e+00,-1.06918919e-14,-3.80898655e-14,-3.39467576e-13,3.41765082e-13
14,52.50,1.00000000e+00,3.00262482e+02,0.00000000e+00,0.00000000e+00,-1.93790533e-14,-2.47250002e-14,-3.75552698e-13,3.76864311e-13
