i,k,x_um,z_um,fill,temperature,liquid_frac,ux,uz,vmag
0,0,0.00,0.00,1.00000000e+00,3.00002197e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,3.75,0.00,1.00000000e+00,3.00002228e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,7.50,0.00,1.00000000e+00,3.00002167e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,11.25,0.00,1.00000000e+00,3.00002167e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,15.00,0.00,1.00000000e+00,3.00002167e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,18.75,0.00,1.00000000e+00,3.00002197e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,22.50,0.00,1.00000000e+00,3.00002197e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,26.25,0.00,1.00000000e+00,3.00002167e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,30.00,0.00,1.00000000e+00,3.00002045e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,33.75,0.00,1.00000000e+00,3.00001892e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,37.50,0.00,1.00000000e+00,3.00001770e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,41.25,0.00,1.00000000e+00,3.00001740e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,45.00,0.00,1.00000000e+00,3.00001709e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,48.75,0.00,1.00000000e+00,3.00001740e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,52.50,0.00,1.00000000e+00,3.00001709e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,56.25,0.00,1.00000000e+00,3.00001740e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
