step,mass,mass_err_pct,swiss_cheese,neg_viol,over_viol
165,7830.95,0.0121228,9,0,0
166,7831.55,0.0197869,6,0,0
167,7831.74,0.0222813,12,0,0
168,7832.1,0.0267775,18,0,0
169,7832.33,0.0297334,6,0,0
170,7832.77,0.0353832,12,0,0
171,7832.67,0.0341173,6,0,0
172,7833.1,0.0396175,9,0,0
173,7833.5,0.0446437,21,0,0
174,7833.62,0.0462277,3,0,0
175,7833.92,0.050013,12,0,0
176,7834.32,0.0551452,6,0,0
177,7834.48,0.0571719,15,0,0
178,7835.08,0.0648298,15,0,0
179,7835.2,0.0664636,6,0,0
180,7835.36,0.0684404,12,0,0
181,7835.41,0.0690578,6,0,0
182,7835.84,0.0745455,18,0,0
183,7835.54,0.0707166,9,0,0
184,7835.81,0.0741714,9,0,0
185,7835.81,0.0742088,15,0,0
186,7836.03,0.077015,6,0,0
187,7835.99,0.0765535,15,0,0
188,7836.29,0.0802827,6,0,0
189,7836.02,0.0769214,9,0,0
190,7836.4,0.0817481,15,0,0
191,7836.34,0.0810248,21,0,0
192,7836.45,0.082378,9,0,0
193,7836.25,0.0798773,9,0,0
194,7836.62,0.0846042,9,0,0
195,7836.31,0.0805695,18,0,0
196,7836.55,0.0836501,15,0,0
197,7836.34,0.0809437,6,0,0
198,7836.23,0.0796029,0,0,0
199,7835.99,0.0764537,6,0,0
200,7836.11,0.0780377,3,0,0
201,7835.56,0.0710409,18,0,0
202,7835.62,0.0717705,24,0,0
203,7835.16,0.0658712,9,0,0
204,7834.98,0.0636013,3,0,0
205,7834.75,0.0606329,15,0,0
206,7834.6,0.0587808,9,0,0
207,7833.95,0.0504807,15,0,0
208,7833.84,0.0490464,9,0,0
209,7833.55,0.0452923,6,0,0
210,7833.19,0.0406901,6,0,0
211,7832.73,0.034822,12,0,0
212,7832.79,0.0355828,12,0,0
213,7832.45,0.0312363,12,0,0
214,7832.4,0.0306688,6,0,0
215,7831.94,0.0247945,6,0,0
