0.00,20.00,40.00,60.00,80.00,100.00,120.00,140.00,160.00,180.00,200.00,220.00,240.00,260.00,280.00,300.00,320.00,340.00,360.00,380.00,400.00,420.00,440.00,460.00,480.00,500.00,520.00,540.00,560.00,580.00,600.00,620.00,640.00,660.00,680.00,700.00,720.00,740.00,760.00,780.00,800.00,820.00,840.00,860.00,880.00,900.00,920.00,940.00,960.00,980.00,1000.00,1020.00,1040.00,1060.00,1080.00,1100.00,1120.00,1140.00,1160.00,1180.00,1200.00,1220.00,1240.00,1260.00,1280.00
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0001,300.0002,300.0002,300.0003,300.0003,300.0004,300.0005,300.0006,300.0007,300.0008,300.0008,300.0009,300.0009,300.0009,300.0009,300.0009,300.0008,300.0008,300.0007,300.0006,300.0005,300.0004,300.0003,300.0003,300.0002,300.0002,300.0001,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0001,300.0002,300.0002,300.0003,300.0005,300.0006,300.0007,300.0009,300.0011,300.0013,300.0015,300.0016,300.0018,300.0019,300.0020,300.0020,300.0020,300.0019,300.0018,300.0016,300.0015,300.0013,300.0011,300.0009,300.0007,300.0006,300.0005,300.0003,300.0002,300.0002,300.0001,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0001,300.0002,300.0003,300.0004,300.0005,300.0007,300.0009,300.0013,300.0016,300.0019,300.0023,300.0027,300.0031,300.0034,300.0038,300.0040,300.0042,300.0042,300.0042,300.0040,300.0038,300.0034,300.0031,300.0027,300.0023,300.0019,300.0016,300.0013,300.0009,300.0007,300.0005,300.0004,300.0003,300.0002,300.0001,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0002,300.0002,300.0004,300.0005,300.0008,300.0011,300.0015,300.0020,300.0025,300.0032,300.0039,300.0047,300.0056,300.0063,300.0071,300.0077,300.0082,300.0085,300.0086,300.0085,300.0082,300.0077,300.0071,300.0063,300.0056,300.0047,300.0039,300.0032,300.0025,300.0020,300.0015,300.0011,300.0008,300.0005,300.0004,300.0002,300.0002,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0001,300.0002,300.0003,300.0005,300.0008,300.0011,300.0016,300.0022,300.0030,300.0039,300.0051,300.0064,300.0079,300.0095,300.0111,300.0127,300.0142,300.0155,300.0164,300.0171,300.0173,300.0171,300.0164,300.0155,300.0142,300.0127,300.0111,300.0095,300.0079,300.0064,300.0051,300.0039,300.0030,300.0022,300.0016,300.0011,300.0008,300.0005,300.0003,300.0002,300.0001,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0002,300.0002,300.0004,300.0006,300.0010,300.0015,300.0022,300.0031,300.0043,300.0058,300.0077,300.0100,300.0126,300.0155,300.0186,300.0218,300.0249,300.0278,300.0302,300.0322,300.0334,300.0338,300.0334,300.0322,300.0302,300.0278,300.0249,300.0218,300.0186,300.0155,300.0126,300.0100,300.0077,300.0058,300.0043,300.0031,300.0022,300.0015,300.0010,300.0006,300.0004,300.0002,300.0002,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0002,300.0003,300.0005,300.0008,300.0013,300.0019,300.0028,300.0042,300.0059,300.0082,300.0111,300.0147,300.0190,300.0240,300.0295,300.0354,300.0415,300.0475,300.0530,300.0577,300.0614,300.0637,300.0644,300.0637,300.0614,300.0577,300.0530,300.0475,300.0415,300.0354,300.0295,300.0240,300.0190,300.0147,300.0111,300.0082,300.0059,300.0042,300.0028,300.0019,300.0013,300.0008,300.0005,300.0003,300.0002,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0002,300.0003,300.0005,300.0009,300.0015,300.0023,300.0035,300.0053,300.0077,300.0110,300.0153,300.0207,300.0274,300.0354,300.0447,300.0550,300.0660,300.0774,300.0885,300.0987,300.1075,300.1143,300.1185,300.1200,300.1185,300.1143,300.1075,300.0987,300.0885,300.0774,300.0660,300.0550,300.0447,300.0354,300.0274,300.0207,300.0153,300.0110,300.0077,300.0053,300.0035,300.0023,300.0015,300.0009,300.0005,300.0003,300.0002,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0001,300.0001,300.0002,300.0003,300.0006,300.0010,300.0016,300.0027,300.0042,300.0064,300.0096,300.0140,300.0200,300.0278,300.0377,300.0499,300.0644,300.0812,300.0999,300.1200,300.1406,300.1608,300.1794,300.1954,300.2077,300.2155,300.2181,300.2155,300.2077,300.1954,300.1794,300.1608,300.1406,300.1200,300.0999,300.0812,300.0644,300.0499,300.0377,300.0278,300.0200,300.0140,300.0096,300.0064,300.0042,300.0027,300.0016,300.0010,300.0006,300.0003,300.0002,300.0001,300.0001,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
