k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00008240e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00008728e+02,0.00000000e+00,0.00000000e+00,1.33648649e-15,4.00945925e-15,1.13601348e-14,1.21208348e-14
2,7.50,1.00000000e+00,3.00009705e+02,0.00000000e+00,0.00000000e+00,4.00945925e-15,6.68243244e-16,2.00472980e-14,2.04552307e-14
3,11.25,1.00000000e+00,3.00011230e+02,0.00000000e+00,0.00000000e+00,-2.00472963e-15,3.34121633e-15,3.67533796e-14,3.69593509e-14
4,15.00,1.00000000e+00,3.00013519e+02,0.00000000e+00,0.00000000e+00,-2.67297298e-15,4.00945925e-15,5.14547308e-14,5.16798789e-14
5,18.75,1.00000000e+00,3.00016846e+02,0.00000000e+00,0.00000000e+00,-1.60378370e-14,-3.34121633e-15,7.21702700e-14,7.40062444e-14
6,22.50,1.00000000e+00,3.00021576e+02,0.00000000e+00,0.00000000e+00,-7.35067558e-15,-5.34594596e-15,6.28148656e-14,6.34690393e-14
7,26.25,1.00000000e+00,3.00027863e+02,0.00000000e+00,0.00000000e+00,1.33648649e-15,8.68716228e-15,5.27912166e-14,5.35178964e-14
8,30.00,1.00000000e+00,3.00036499e+02,0.00000000e+00,0.00000000e+00,1.33648649e-15,-4.00945925e-15,5.41277025e-14,5.42924504e-14
9,33.75,1.00000000e+00,3.00048126e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.80425675e-14,6.68243266e-14,6.92172285e-14
10,37.50,1.00000000e+00,3.00063721e+02,0.00000000e+00,0.00000000e+00,4.00945925e-15,2.13837838e-14,8.35304048e-14,8.63172652e-14
11,41.25,1.00000000e+00,3.00084351e+02,0.00000000e+00,0.00000000e+00,-6.68243244e-16,1.47013512e-14,8.55351353e-14,8.67919086e-14
12,45.00,1.00000000e+00,3.00111145e+02,0.00000000e+00,0.00000000e+00,4.00945925e-15,3.34121633e-15,8.41986460e-14,8.43602464e-14
13,48.75,1.00000000e+00,3.00145935e+02,0.00000000e+00,0.00000000e+00,-8.01891851e-15,0.00000000e+00,1.10260135e-13,1.10551345e-13
14,52.50,1.00000000e+00,3.00190552e+02,0.00000000e+00,0.00000000e+00,-2.07155409e-14,3.34121633e-15,1.32312157e-13,1.33965687e-13
15,56.25,1.00000000e+00,3.00245667e+02,0.00000000e+00,0.00000000e+00,-1.87108104e-14,9.35540521e-15,1.54364192e-13,1.55775227e-13
16,60.00,1.00000000e+00,3.00310486e+02,0.00000000e+00,0.00000000e+00,-1.80425675e-14,4.00945925e-15,1.52359462e-13,1.53476434e-13
17,63.75,1.00000000e+00,3.00385742e+02,0.00000000e+00,0.00000000e+00,-1.26966215e-14,1.00236490e-14,1.45008788e-13,1.45908283e-13
18,67.50,1.00000000e+00,3.00473969e+02,0.00000000e+00,0.00000000e+00,-1.33648649e-15,-8.01891851e-15,1.69733788e-13,1.69928362e-13
19,71.25,1.00000000e+00,3.00578003e+02,0.00000000e+00,0.00000000e+00,-9.35540521e-15,-2.60614860e-14,1.89781079e-13,1.91790472e-13
20,75.00,1.00000000e+00,3.00701508e+02,0.00000000e+00,0.00000000e+00,-1.13601348e-14,-7.35067558e-15,1.98468249e-13,1.98928967e-13
21,78.75,1.00000000e+00,3.00848938e+02,0.00000000e+00,0.00000000e+00,-1.73743246e-14,-7.35067558e-15,1.65056079e-13,1.66130700e-13
22,82.50,1.00000000e+00,3.01025330e+02,0.00000000e+00,0.00000000e+00,-7.35067558e-15,-1.47013512e-14,1.79757427e-13,1.80507329e-13
23,86.25,1.00000000e+00,3.01236938e+02,0.00000000e+00,0.00000000e+00,-1.80425675e-14,-8.68716228e-15,1.67060810e-13,1.68256685e-13
24,90.00,1.00000000e+00,3.01491333e+02,0.00000000e+00,0.00000000e+00,-3.54168904e-14,4.00945925e-15,1.51691214e-13,1.55822512e-13
25,93.75,1.00000000e+00,3.01797546e+02,0.00000000e+00,0.00000000e+00,-3.54168904e-14,-1.33648653e-14,1.81093923e-13,1.85008069e-13
26,97.50,1.00000000e+00,3.02166260e+02,0.00000000e+00,0.00000000e+00,-5.74689222e-14,-7.35067558e-15,1.23625001e-13,1.36527833e-13
27,101.25,1.00000000e+00,3.02610687e+02,0.00000000e+00,0.00000000e+00,-7.48432417e-14,-2.00472963e-15,7.68479722e-14,1.07289984e-13
28,105.00,1.00000000e+00,3.03146576e+02,0.00000000e+00,0.00000000e+00,-8.15256743e-14,1.06918919e-14,7.21702700e-14,1.09404300e-13
29,108.75,1.00000000e+00,3.03792725e+02,0.00000000e+00,0.00000000e+00,-1.00236490e-13,1.26966215e-14,5.54641883e-14,1.15259852e-13
30,112.50,1.00000000e+00,3.04572021e+02,0.00000000e+00,0.00000000e+00,-1.40999327e-13,6.68243244e-16,3.40804045e-14,1.45061128e-13
31,116.25,1.00000000e+00,3.05512024e+02,0.00000000e+00,0.00000000e+00,-1.62383114e-13,1.33648649e-15,2.13837838e-14,1.63790504e-13
32,120.00,1.00000000e+00,3.06645691e+02,0.00000000e+00,0.00000000e+00,-2.01141214e-13,2.40567572e-14,-2.73979736e-14,2.04419096e-13
33,123.75,1.00000000e+00,3.08013062e+02,0.00000000e+00,0.00000000e+00,-2.46581753e-13,1.00236490e-14,-6.34831068e-14,2.54819820e-13
34,127.50,1.00000000e+00,3.09662292e+02,0.00000000e+00,0.00000000e+00,-2.96031754e-13,2.00472980e-14,-9.62270289e-14,3.11923610e-13
35,131.25,1.00000000e+00,3.11651611e+02,0.00000000e+00,0.00000000e+00,-3.62856094e-13,2.20520267e-14,-1.27634462e-13,3.85280946e-13
36,135.00,1.00000000e+00,3.14051147e+02,0.00000000e+00,0.00000000e+00,-4.17652024e-13,-1.26966215e-14,-1.10260135e-13,4.32147780e-13
37,138.75,1.00000000e+00,3.16945496e+02,0.00000000e+00,0.00000000e+00,-5.02518925e-13,-3.34121633e-15,-1.26966214e-13,5.18321172e-13
38,142.50,1.00000000e+00,3.20436035e+02,0.00000000e+00,0.00000000e+00,-6.03423670e-13,3.34121633e-15,-1.73075001e-13,6.27762870e-13
39,146.25,1.00000000e+00,3.24645294e+02,0.00000000e+00,0.00000000e+00,-7.36404048e-13,-1.67060816e-14,-1.42335809e-13,7.50219656e-13
40,150.00,1.00000000e+00,3.29720001e+02,0.00000000e+00,0.00000000e+00,-9.12820275e-13,0.00000000e+00,-7.01655395e-14,9.15513000e-13
41,153.75,1.00000000e+00,3.35836334e+02,0.00000000e+00,0.00000000e+00,-1.11462976e-12,-1.33648649e-15,3.80898655e-14,1.11528115e-12
42,157.50,1.00000000e+00,3.43204132e+02,0.00000000e+00,0.00000000e+00,-1.36321618e-12,1.33648649e-15,1.62383114e-13,1.37285409e-12
43,161.25,1.00000000e+00,3.52072845e+02,0.00000000e+00,0.00000000e+00,-1.67461758e-12,-1.93790533e-14,2.79325689e-13,1.69786407e-12
44,165.00,1.00000000e+00,3.62736023e+02,0.00000000e+00,0.00000000e+00,-2.03881009e-12,-8.68716228e-15,3.51495959e-13,2.06890581e-12
45,168.75,1.00000000e+00,3.75536255e+02,0.00000000e+00,0.00000000e+00,-2.43507840e-12,3.74216208e-14,2.18515540e-13,2.44514955e-12
46,172.50,1.00000000e+00,3.90868073e+02,0.00000000e+00,0.00000000e+00,-2.92289587e-12,2.00472980e-14,1.03577703e-13,2.92479907e-12
47,176.25,1.00000000e+00,4.09178070e+02,0.00000000e+00,0.00000000e+00,-3.54102099e-12,-4.67770261e-15,1.22956753e-13,3.54315817e-12
48,180.00,1.00000000e+00,4.30961365e+02,0.00000000e+00,0.00000000e+00,-4.21394170e-12,-1.00236490e-14,1.00236490e-13,4.21514559e-12
49,183.75,1.00000000e+00,4.56751160e+02,0.00000000e+00,0.00000000e+00,-4.90490547e-12,-2.13837838e-14,-5.21229720e-14,4.90522900e-12
50,187.50,1.00000000e+00,4.87101440e+02,0.00000000e+00,0.00000000e+00,-5.71347960e-12,4.67770261e-15,-2.79325689e-13,5.72030531e-12
51,191.25,1.00000000e+00,5.22559937e+02,0.00000000e+00,0.00000000e+00,-6.78467352e-12,3.34121633e-15,-5.27912187e-13,6.80518185e-12
