i,j,x,y,ux,uy,vorticity
64,0,5.03906282e-04,3.90625019e-06,-4.49820509e-05,4.48312167e-05,-1.23938071e-02
65,0,5.11718797e-04,3.90625019e-06,-1.34715257e-04,4.47306666e-05,-3.90892364e-02
66,0,5.19531255e-04,3.90625019e-06,-2.24211923e-04,4.45779588e-05,-6.93632737e-02
67,0,5.27343771e-04,3.90625019e-06,-3.13207624e-04,4.42260025e-05,-9.90386978e-02
68,0,5.35156287e-04,3.90625019e-06,-4.01261204e-04,4.38070274e-05,-1.27045438e-01
69,0,5.42968803e-04,3.90625019e-06,-4.88277525e-04,4.32874913e-05,-1.52674258e-01
70,0,5.50781260e-04,3.90625019e-06,-5.74089005e-04,4.26562219e-05,-1.79959446e-01
71,0,5.58593776e-04,3.90625019e-06,-6.58580277e-04,4.18629461e-05,-2.08082139e-01
72,0,5.66406292e-04,3.90625019e-06,-7.41432828e-04,4.10436005e-05,-2.32401058e-01
73,0,5.74218750e-04,3.90625019e-06,-8.22650502e-04,4.00697027e-05,-2.55878329e-01
74,0,5.82031265e-04,3.90625019e-06,-9.01950058e-04,3.90641435e-05,-2.82102495e-01
75,0,5.89843781e-04,3.90625019e-06,-9.79053904e-04,3.79207740e-05,-3.00441861e-01
76,0,5.97656297e-04,3.90625019e-06,-1.05371117e-03,3.66880340e-05,-3.25376630e-01
77,0,6.05468755e-04,3.90625019e-06,-1.12570880e-03,3.53938267e-05,-3.44655693e-01
78,0,6.13281270e-04,3.90625019e-06,-1.19501073e-03,3.40102597e-05,-3.64433467e-01
79,0,6.21093786e-04,3.90625019e-06,-1.26158784e-03,3.25484689e-05,-3.86350513e-01
80,0,6.28906302e-04,3.90625019e-06,-1.32500357e-03,3.10028918e-05,-4.08416122e-01
81,0,6.36718760e-04,3.90625019e-06,-1.38535560e-03,2.93716475e-05,-4.29020822e-01
82,0,6.44531276e-04,3.90625019e-06,-1.44236756e-03,2.76379997e-05,-4.49290812e-01
83,0,6.52343791e-04,3.90625019e-06,-1.49595458e-03,2.58354394e-05,-4.63267982e-01
84,0,6.60156307e-04,3.90625019e-06,-1.54580979e-03,2.40421887e-05,-4.77913976e-01
85,0,6.67968765e-04,3.90625019e-06,-1.59205240e-03,2.21316241e-05,-4.91389394e-01
86,0,6.75781281e-04,3.90625019e-06,-1.63431722e-03,2.01745024e-05,-5.05089283e-01
87,0,6.83593797e-04,3.90625019e-06,-1.67264231e-03,1.81782834e-05,-5.16196132e-01
88,0,6.91406254e-04,3.90625019e-06,-1.70694862e-03,1.61243352e-05,-5.27982295e-01
89,0,6.99218770e-04,3.90625019e-06,-1.73717563e-03,1.40945986e-05,-5.31766891e-01
90,0,7.07031286e-04,3.90625019e-06,-1.76327548e-03,1.20201657e-05,-5.44505954e-01
91,0,7.14843802e-04,3.90625019e-06,-1.78507937e-03,9.89173077e-06,-5.54428577e-01
92,0,7.22656259e-04,3.90625019e-06,-1.80251838e-03,7.72232852e-06,-5.54786086e-01
93,0,7.30468775e-04,3.90625019e-06,-1.81559438e-03,5.58830652e-06,-5.56917191e-01
94,0,7.38281291e-04,3.90625019e-06,-1.82431017e-03,3.43566489e-06,-5.61997890e-01
95,0,7.46093807e-04,3.90625019e-06,-1.82872510e-03,1.26626117e-06,-5.64887881e-01
96,0,7.53906264e-04,3.90625019e-06,-1.82874512e-03,-9.44109217e-07,-5.66406846e-01
97,0,7.61718780e-04,3.90625019e-06,-1.82428688e-03,-3.16565183e-06,-5.64543128e-01
98,0,7.69531296e-04,3.90625019e-06,-1.81546388e-03,-5.43560964e-06,-5.62628388e-01
99,0,7.77343812e-04,3.90625019e-06,-1.80233386e-03,-7.64784090e-06,-5.59329569e-01
100,0,7.85156270e-04,3.90625019e-06,-1.78478519e-03,-9.82469373e-06,-5.53697586e-01
101,0,7.92968785e-04,3.90625019e-06,-1.76300318e-03,-1.19903689e-05,-5.44392705e-01
102,0,8.00781301e-04,3.90625019e-06,-1.73689169e-03,-1.40927305e-05,-5.30827880e-01
103,0,8.08593817e-04,3.90625019e-06,-1.70658901e-03,-1.61075732e-05,-5.23558378e-01
104,0,8.16406275e-04,3.90625019e-06,-1.67207583e-03,-1.80777224e-05,-5.13404608e-01
105,0,8.24218791e-04,3.90625019e-06,-1.63379952e-03,-2.00273935e-05,-5.02094865e-01
106,0,8.32031306e-04,3.90625019e-06,-1.59159978e-03,-2.20012716e-05,-4.90204513e-01
107,0,8.39843764e-04,3.90625019e-06,-1.54548313e-03,-2.38596858e-05,-4.78978813e-01
108,0,8.47656280e-04,3.90625019e-06,-1.49549765e-03,-2.57013526e-05,-4.65971172e-01
109,0,8.55468796e-04,3.90625019e-06,-1.44198537e-03,-2.75448820e-05,-4.44403589e-01
110,0,8.63281311e-04,3.90625019e-06,-1.38505560e-03,-2.92543300e-05,-4.23112273e-01
111,0,8.71093769e-04,3.90625019e-06,-1.32482592e-03,-3.09023198e-05,-4.02940184e-01
112,0,8.78906285e-04,3.90625019e-06,-1.26140332e-03,-3.24069406e-05,-3.85657609e-01
113,0,8.86718801e-04,3.90625019e-06,-1.19485962e-03,-3.39469407e-05,-3.68752956e-01
114,0,8.94531317e-04,3.90625019e-06,-1.12540915e-03,-3.53975556e-05,-3.45868737e-01
115,0,9.02343774e-04,3.90625019e-06,-1.05333689e-03,-3.67271386e-05,-3.25136334e-01
116,0,9.10156290e-04,3.90625019e-06,-9.78720491e-04,-3.80008423e-05,-3.08683604e-01
117,0,9.17968806e-04,3.90625019e-06,-9.01724619e-04,-3.92242837e-05,-2.81383038e-01
118,0,9.25781322e-04,3.90625019e-06,-8.22624308e-04,-4.01777033e-05,-2.52197027e-01
119,0,9.33593779e-04,3.90625019e-06,-7.41376949e-04,-4.10510511e-05,-2.30845749e-01
120,0,9.41406295e-04,3.90625019e-06,-6.58369740e-04,-4.18573545e-05,-2.04758704e-01
121,0,9.49218811e-04,3.90625019e-06,-5.73883997e-04,-4.26282750e-05,-1.82101026e-01
