0.00,2.00,4.00,6.00,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00,32.00,34.00,36.00,38.00,40.00,42.00,44.00,46.00,48.00,50.00,52.00,54.00,56.00,58.00,60.00,62.00,64.00,66.00,68.00,70.00,72.00,74.00,76.00,78.00,80.00,82.00,84.00,86.00,88.00,90.00,92.00,94.00,96.00,98.00,100.00,102.00,104.00,106.00,108.00,110.00,112.00,114.00,116.00,118.00,120.00,122.00,124.00,126.00,128.00,130.00,132.00,134.00,136.00,138.00,140.00,142.00,144.00,146.00,148.00,150.00,152.00,154.00,156.00,158.00,160.00,162.00,164.00,166.00,168.00,170.00,172.00,174.00,176.00,178.00,180.00,182.00,184.00,186.00,188.00,190.00,192.00,194.00,196.00,198.00
0.000280,0.000272,0.000247,0.000210,0.000168,0.000126,0.000131,0.000266,0.000518,0.000956,0.001662,0.002690,0.004012,0.005457,0.006706,0.007394,0.007292,0.006434,0.005102,0.003662,0.002403,0.003120,0.003960,0.004683,0.005146,0.005249,0.004967,0.004364,0.009989,0.024369,0.057331,0.126645,0.251802,0.429883,0.617228,0.764187,0.857001,0.908490,0.934543,0.945349,0.945417,0.934774,0.908978,0.857926,0.765780,0.619546,0.432470,0.253897,0.127923,0.057973,0.024658,0.042657,0.087548,0.165232,0.279092,0.414762,0.544584,0.646360,0.713147,0.747656,0.753848,0.732626,0.681142,0.595285,0.476428,0.339878,0.213122,0.118423,0.059746,0.038551,0.058119,0.076513,0.086843,0.084504,0.070578,0.051009,0.032392,0.018447,0.009627,0.004696,0.002174,0.000968,0.000417,0.000176,0.000108,0.000098,0.000084,0.000088,0.000119,0.000148,0.000170,0.000179,0.000174,0.000154,0.000126,0.000096,0.000067,0.000044,0.000028,0.000016
0.000747,0.000725,0.000654,0.000551,0.000433,0.000320,0.000222,0.000427,0.000853,0.001623,0.002903,0.004834,0.007395,0.010271,0.012807,0.014223,0.014012,0.012252,0.009558,0.006711,0.005806,0.008046,0.010381,0.012422,0.013744,0.014038,0.013232,0.011520,0.009372,0.022772,0.053405,0.117890,0.235389,0.406124,0.591549,0.742220,0.840357,0.896080,0.924730,0.936725,0.936800,0.924985,0.896614,0.841350,0.743883,0.593888,0.408640,0.237371,0.119081,0.054002,0.032720,0.072768,0.150154,0.276869,0.441360,0.604858,0.732283,0.815200,0.862429,0.884749,0.888609,0.875199,0.840472,0.775315,0.668638,0.518770,0.349216,0.201812,0.102453,0.064232,0.099061,0.132189,0.150848,0.146621,0.121478,0.086336,0.053431,0.029462,0.014848,0.006997,0.003138,0.001357,0.000571,0.000298,0.000216,0.000147,0.000124,0.000184,0.000252,0.000318,0.000369,0.000390,0.000377,0.000333,0.000269,0.000200,0.000138,0.000089,0.000053,0.000031
0.001992,0.001926,0.001726,0.001435,0.001110,0.000803,0.000545,0.000638,0.001310,0.002559,0.004707,0.008051,0.012621,0.017883,0.022613,0.025284,0.024885,0.021572,0.016567,0.011388,0.014426,0.020425,0.026800,0.032444,0.036129,0.036951,0.034698,0.029943,0.023798,0.019600,0.045630,0.100461,0.202027,0.355778,0.534005,0.690191,0.799141,0.864355,0.899121,0.913990,0.914084,0.899435,0.864995,0.800279,0.691984,0.536343,0.358111,0.203766,0.101478,0.046136,0.050847,0.114381,0.233020,0.409014,0.601727,0.756991,0.856033,0.910981,0.938945,0.951274,0.953345,0.946071,0.926254,0.885470,0.808826,0.679433,0.498610,0.307693,0.160735,0.094071,0.147153,0.197568,0.225767,0.219396,0.181305,0.127737,0.077705,0.041825,0.020511,0.009406,0.004114,0.001739,0.000964,0.000738,0.000524,0.000347,0.000242,0.000366,0.000512,0.000657,0.000768,0.000817,0.000787,0.000688,0.000548,0.000400,0.000270,0.000169,0.000099,0.000055
0.005281,0.005094,0.004524,0.003709,0.002816,0.001990,0.001316,0.000884,0.001855,0.003712,0.006998,0.012256,0.019635,0.028316,0.036245,0.040766,0.040088,0.034492,0.026130,0.022424,0.034920,0.050401,0.067016,0.081777,0.091415,0.093563,0.087674,0.075232,0.059176,0.042783,0.035830,0.078381,0.158531,0.285946,0.446752,0.603535,0.724853,0.803788,0.848391,0.868127,0.868252,0.848803,0.804590,0.726185,0.605442,0.448977,0.287951,0.159926,0.079173,0.036222,0.072960,0.164243,0.325074,0.535160,0.726699,0.854059,0.923205,0.957188,0.973039,0.979641,0.980723,0.976888,0.965983,0.941838,0.891447,0.793332,0.629017,0.418455,0.228804,0.118963,0.187251,0.251558,0.287138,0.279127,0.230900,0.162312,0.097894,0.051942,0.025038,0.011284,0.004856,0.002942,0.002403,0.001801,0.001246,0.000802,0.000483,0.000692,0.000988,0.001290,0.001526,0.001629,0.001566,0.001357,0.001064,0.000761,0.000501,0.000306,0.000175,0.000095
0.013870,0.013342,0.011740,0.009475,0.007045,0.004853,0.003119,0.001882,0.002405,0.004904,0.009427,0.016827,0.027423,0.040096,0.051804,0.058520,0.057511,0.049206,0.036887,0.050962,0.080805,0.117695,0.156685,0.190543,0.212186,0.216957,0.203831,0.175633,0.138390,0.099586,0.065618,0.056101,0.113458,0.208639,0.339462,0.483190,0.609618,0.701572,0.757935,0.784110,0.784279,0.758474,0.702556,0.611098,0.485061,0.341377,0.210188,0.114470,0.056662,0.039344,0.096132,0.214792,0.409880,0.634055,0.808248,0.908115,0.956351,0.978013,0.987425,0.991150,0.991746,0.989614,0.983306,0.968438,0.934796,0.862146,0.722966,0.513857,0.295459,0.140843,0.202805,0.272306,0.310563,0.301964,0.250026,0.175755,0.105753,0.055854,0.026768,0.011993,0.008274,0.007330,0.005882,0.004302,0.002890,0.001800,0.001048,0.001230,0.001796,0.002385,0.002854,0.003061,0.002934,0.002517,0.001943,0.001361,0.000874,0.000520,0.000290,0.000153
0.035752,0.034292,0.029892,0.023747,0.017275,0.011584,0.007217,0.004213,0.002834,0.005852,0.011393,0.020595,0.033941,0.050065,0.065061,0.073691,0.072394,0.061727,0.062780,0.108982,0.172794,0.247984,0.322167,0.382006,0.418054,0.425775,0.404339,0.356178,0.288060,0.211649,0.140596,0.084815,0.074212,0.137595,0.230684,0.344477,0.458420,0.552348,0.615898,0.647282,0.647490,0.616531,0.553413,0.459850,0.346058,0.232112,0.138652,0.074872,0.037373,0.047271,0.115996,0.256478,0.473544,0.698703,0.854658,0.935645,0.971841,0.987083,0.993344,0.995716,0.996087,0.994747,0.990643,0.980457,0.955971,0.899233,0.780471,0.581302,0.348506,0.169556,0.186786,0.250936,0.286434,0.278441,0.230328,0.161911,0.097660,0.051825,0.024986,0.020764,0.020343,0.017825,0.014027,0.009988,0.006497,0.003903,0.002190,0.002035,0.003034,0.004097,0.004960,0.005343,0.005107,0.004339,0.003297,0.002263,0.001420,0.000825,0.000448,0.000231
0.088495,0.084714,0.073335,0.057510,0.041021,0.026796,0.016177,0.009121,0.004852,0.006270,0.012271,0.022292,0.036902,0.054620,0.071136,0.080652,0.079221,0.067462,0.123191,0.212039,0.325363,0.443650,0.544971,0.616652,0.655918,0.663969,0.641309,0.586746,0.500188,0.388531,0.269652,0.166181,0.091962,0.082432,0.139941,0.215561,0.299430,0.376722,0.434349,0.464708,0.464914,0.434948,0.377649,0.300546,0.216663,0.140849,0.083069,0.045076,0.022883,0.052137,0.128118,0.281119,0.508647,0.731183,0.876057,0.947516,0.978166,0.990609,0.995548,0.997370,0.997652,0.996630,0.993437,0.985253,0.964868,0.915784,0.808190,0.616977,0.379023,0.186899,0.146429,0.196587,0.224648,0.218307,0.180406,0.127114,0.077341,0.041641,0.044566,0.049223,0.048144,0.041727,0.032192,0.022291,0.014014,0.008106,0.004371,0.003090,0.004697,0.006444,0.007883,0.008528,0.008131,0.006845,0.005127,0.003455,0.002123,0.001206,0.000641,0.000323
0.201221,0.192771,0.167059,0.130694,0.092304,0.059143,0.034727,0.018930,0.009708,0.006019,0.011744,0.021272,0.035120,0.051877,0.067476,0.076457,0.075107,0.116756,0.219151,0.361599,0.517389,0.651748,0.747147,0.805150,0.833914,0.839563,0.823451,0.781841,0.707032,0.592462,0.444339,0.290315,0.164991,0.083585,0.076774,0.119393,0.169514,0.219220,0.259002,0.281053,0.281205,0.259430,0.219841,0.170205,0.120030,0.077275,0.045781,0.025248,0.020332,0.052726,0.129580,0.284050,0.512702,0.734798,0.878362,0.948762,0.978815,0.990964,0.995766,0.997531,0.997805,0.996815,0.993715,0.985741,0.965793,0.917544,0.811226,0.621030,0.382610,0.188981,0.098350,0.131220,0.149735,0.145540,0.120592,0.085724,0.054967,0.078121,0.098437,0.109326,0.106801,0.091811,0.069675,0.047040,0.028611,0.015929,0.008251,0.004257,0.006575,0.009138,0.011279,0.012245,0.011649,0.009733,0.007202,0.004779,0.002886,0.001610,0.000841,0.000416
0.392223,0.377919,0.332921,0.265534,0.189903,0.121519,0.070190,0.037207,0.018438,0.008678,0.010004,0.017928,0.029318,0.042986,0.055640,0.062907,0.092748,0.191141,0.345419,0.529717,0.693776,0.808177,0.876093,0.912358,0.928949,0.932097,0.923021,0.898235,0.848809,0.760536,0.621376,0.441856,0.266046,0.137568,0.063741,0.060011,0.085334,0.111261,0.132757,0.156760,0.165592,0.153747,0.125483,0.090251,0.060328,0.039137,0.023577,0.013312,0.018926,0.048884,0.120023,0.264732,0.485506,0.710013,0.862251,0.939918,0.974145,0.988382,0.994164,0.996335,0.996673,0.995450,0.991677,0.982213,0.959192,0.905148,0.790212,0.593579,0.358798,0.175333,0.074327,0.075799,0.086022,0.083707,0.069924,0.066508,0.107939,0.155311,0.196436,0.218194,0.213169,0.183090,0.138066,0.091707,0.054294,0.029193,0.014551,0.006846,0.008217,0.011525,0.014313,0.015577,0.014797,0.012298,0.009023,0.005923,0.003534,0.001947,0.001004,0.000491
