k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00000214e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00000214e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.20756740e-14,3.20756740e-14
2,7.50,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.47486491e-14,3.47486491e-14
3,11.25,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,1.33648649e-15,2.67297298e-15,-1.47013512e-14,1.50020241e-14
4,15.00,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.68243244e-16,-3.07391882e-14,3.07464523e-14
5,18.75,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.00472963e-15,-2.67297306e-14,2.68048032e-14
6,22.50,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,3.34121633e-15,-6.68243244e-16,-3.14074328e-14,3.15917268e-14
7,26.25,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,-2.67297298e-15,6.68243244e-16,-3.60851350e-14,3.61901671e-14
8,30.00,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,-2.00472963e-15,2.00472963e-15,-3.20756740e-14,3.22007266e-14
9,33.75,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,-6.68243244e-16,-2.00472963e-15,-3.20756740e-14,3.21452053e-14
10,37.50,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.68243244e-16,-3.47486491e-14,3.47550730e-14
11,41.25,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,6.68243244e-16,-6.68243244e-16,-3.07391882e-14,3.07537131e-14
12,45.00,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,-1.33648649e-15,-2.00472963e-15,-3.60851350e-14,3.61654811e-14
13,48.75,1.00000000e+00,3.00000244e+02,0.00000000e+00,0.00000000e+00,6.68243244e-16,-1.33648649e-15,-3.14074328e-14,3.14429574e-14
14,52.50,1.00000000e+00,3.00000305e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.34121633e-15,-3.00709470e-14,3.02559999e-14
15,56.25,1.00000000e+00,3.00000427e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.68243244e-16,-3.60851350e-14,3.60913217e-14
16,60.00,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,-6.68243244e-16,3.34121633e-15,-3.07391882e-14,3.09274633e-14
17,63.75,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,6.68243244e-16,-1.33648649e-15,-2.94027023e-14,2.94406460e-14
18,67.50,1.00000000e+00,3.00000488e+02,0.00000000e+00,0.00000000e+00,-2.00472963e-15,3.34121633e-15,-3.34121633e-14,3.36385989e-14
