i,k,x_um,z_um,fill,temperature,liquid_frac,ux,uz,vmag
0,0,0.00,0.00,1.00000000e+00,3.00010254e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,3.75,0.00,1.00000000e+00,3.00010315e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,7.50,0.00,1.00000000e+00,3.00010559e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,11.25,0.00,1.00000000e+00,3.00010773e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,15.00,0.00,1.00000000e+00,3.00011078e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,18.75,0.00,1.00000000e+00,3.00011536e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,22.50,0.00,1.00000000e+00,3.00012238e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,26.25,0.00,1.00000000e+00,3.00012817e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,30.00,0.00,1.00000000e+00,3.00013397e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,33.75,0.00,1.00000000e+00,3.00014008e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,37.50,0.00,1.00000000e+00,3.00014557e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,41.25,0.00,1.00000000e+00,3.00015259e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,45.00,0.00,1.00000000e+00,3.00015900e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,48.75,0.00,1.00000000e+00,3.00016602e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,52.50,0.00,1.00000000e+00,3.00017273e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,56.25,0.00,1.00000000e+00,3.00017761e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,0,60.00,0.00,1.00000000e+00,3.00018127e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,0,63.75,0.00,1.00000000e+00,3.00018524e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,67.50,0.00,1.00000000e+00,3.00018799e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,0,71.25,0.00,1.00000000e+00,3.00019043e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,0,75.00,0.00,1.00000000e+00,3.00019073e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,0,78.75,0.00,1.00000000e+00,3.00019043e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,0,82.50,0.00,1.00000000e+00,3.00018860e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,0,86.25,0.00,1.00000000e+00,3.00018555e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,0,90.00,0.00,1.00000000e+00,3.00018280e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,0,93.75,0.00,1.00000000e+00,3.00017792e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,0,97.50,0.00,1.00000000e+00,3.00017151e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,0,101.25,0.00,1.00000000e+00,3.00016571e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,0,105.00,0.00,1.00000000e+00,3.00015930e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
29,0,108.75,0.00,1.00000000e+00,3.00015259e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
30,0,112.50,0.00,1.00000000e+00,3.00014496e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
31,0,116.25,0.00,1.00000000e+00,3.00013855e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
32,0,120.00,0.00,1.00000000e+00,3.00013306e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
33,0,123.75,0.00,1.00000000e+00,3.00012787e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
34,0,127.50,0.00,1.00000000e+00,3.00012329e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
35,0,131.25,0.00,1.00000000e+00,3.00011780e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
36,0,135.00,0.00,1.00000000e+00,3.00011353e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
37,0,138.75,0.00,1.00000000e+00,3.00010986e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
38,0,142.50,0.00,1.00000000e+00,3.00010773e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
39,0,146.25,0.00,1.00000000e+00,3.00010590e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
0,1,0.00,3.75,1.00000000e+00,3.00010620e+02,0.00000000e+00,1.33648649e-15,-1.12933107e-13,1.16060983e-13
1,1,3.75,3.75,1.00000000e+00,3.00010742e+02,0.00000000e+00,-6.01418931e-15,-1.18279057e-13,1.19424991e-13
2,1,7.50,3.75,1.00000000e+00,3.00011017e+02,0.00000000e+00,-1.20283786e-14,-1.34316888e-13,1.38313433e-13
3,1,11.25,3.75,1.00000000e+00,3.00011230e+02,0.00000000e+00,5.34594596e-15,-1.41667561e-13,1.43577465e-13
4,1,15.00,3.75,1.00000000e+00,3.00011749e+02,0.00000000e+00,1.53695941e-14,-1.37658114e-13,1.40821857e-13
5,1,18.75,3.75,1.00000000e+00,3.00012238e+02,0.00000000e+00,2.67297298e-15,-1.32980405e-13,1.33677046e-13
6,1,22.50,3.75,1.00000000e+00,3.00012787e+02,0.00000000e+00,-1.80425675e-14,-1.46345270e-13,1.47793602e-13
7,1,26.25,3.75,1.00000000e+00,3.00013550e+02,0.00000000e+00,7.35067558e-15,-1.59041888e-13,1.59234103e-13
8,1,30.00,3.75,1.00000000e+00,3.00014252e+02,0.00000000e+00,1.67060816e-14,-1.53027696e-13,1.54840767e-13
9,1,33.75,3.75,1.00000000e+00,3.00015015e+02,0.00000000e+00,2.67297298e-15,-1.62383114e-13,1.63895427e-13
10,1,37.50,3.75,1.00000000e+00,3.00015656e+02,0.00000000e+00,-1.26966215e-14,-1.65724327e-13,1.67259828e-13
11,1,41.25,3.75,1.00000000e+00,3.00016388e+02,0.00000000e+00,-2.40567572e-14,-1.60378384e-13,1.62722375e-13
12,1,45.00,3.75,1.00000000e+00,3.00017181e+02,0.00000000e+00,-1.60378370e-14,-1.56368923e-13,1.57211958e-13
13,1,48.75,3.75,1.00000000e+00,3.00018036e+02,0.00000000e+00,-2.00472963e-15,-1.42335809e-13,1.42450274e-13
14,1,52.50,3.75,1.00000000e+00,3.00018616e+02,0.00000000e+00,1.93790533e-14,-1.32980405e-13,1.34399978e-13
15,1,56.25,3.75,1.00000000e+00,3.00019287e+02,0.00000000e+00,1.53695941e-14,-1.16274327e-13,1.17475948e-13
16,1,60.00,3.75,1.00000000e+00,3.00019806e+02,0.00000000e+00,-2.00472963e-15,-1.10928377e-13,1.11045057e-13
17,1,63.75,3.75,1.00000000e+00,3.00020142e+02,0.00000000e+00,-6.01418931e-15,-1.12264866e-13,1.12871802e-13
18,1,67.50,3.75,1.00000000e+00,3.00020569e+02,0.00000000e+00,-6.68243266e-15,-1.20952022e-13,1.21550488e-13
19,1,71.25,3.75,1.00000000e+00,3.00020813e+02,0.00000000e+00,-6.68243266e-15,-1.47013518e-13,1.47506288e-13
20,1,75.00,3.75,1.00000000e+00,3.00020844e+02,0.00000000e+00,1.26966215e-14,-1.45008788e-13,1.46372728e-13
21,1,78.75,3.75,1.00000000e+00,3.00020813e+02,0.00000000e+00,2.53932431e-14,-1.40331079e-13,1.42635103e-13
22,1,82.50,3.75,1.00000000e+00,3.00020599e+02,0.00000000e+00,1.60378370e-14,-1.36989866e-13,1.37983727e-13
23,1,86.25,3.75,1.00000000e+00,3.00020294e+02,0.00000000e+00,2.67297298e-15,-1.36321618e-13,1.36347815e-13
24,1,90.00,3.75,1.00000000e+00,3.00019806e+02,0.00000000e+00,-2.13837838e-14,-1.55032427e-13,1.56615741e-13
25,1,93.75,3.75,1.00000000e+00,3.00019287e+02,0.00000000e+00,-9.35540521e-15,-1.56368923e-13,1.56671334e-13
26,1,97.50,3.75,1.00000000e+00,3.00018616e+02,0.00000000e+00,2.67297298e-15,-1.48350001e-13,1.48411692e-13
27,1,101.25,3.75,1.00000000e+00,3.00018036e+02,0.00000000e+00,-2.00472963e-15,-1.46345270e-13,1.46967941e-13
28,1,105.00,3.75,1.00000000e+00,3.00017181e+02,0.00000000e+00,1.20283786e-14,-1.20952022e-13,1.21614754e-13
29,1,108.75,3.75,1.00000000e+00,3.00016388e+02,0.00000000e+00,-1.00236490e-14,-1.05582433e-13,1.06663844e-13
30,1,112.50,3.75,1.00000000e+00,3.00015656e+02,0.00000000e+00,-7.35067558e-15,-1.10928377e-13,1.12419886e-13
31,1,116.25,3.75,1.00000000e+00,3.00014832e+02,0.00000000e+00,8.68716228e-15,-1.27634462e-13,1.29816459e-13
32,1,120.00,3.75,1.00000000e+00,3.00014252e+02,0.00000000e+00,2.67297298e-15,-1.43004057e-13,1.43379842e-13
33,1,123.75,3.75,1.00000000e+00,3.00013611e+02,0.00000000e+00,-1.33648649e-15,-1.35653384e-13,1.35701102e-13
34,1,127.50,3.75,1.00000000e+00,3.00013031e+02,0.00000000e+00,-7.35067558e-15,-1.19615540e-13,1.20317195e-13
35,1,131.25,3.75,1.00000000e+00,3.00012512e+02,0.00000000e+00,-1.73743246e-14,-1.33648653e-13,1.34774909e-13
36,1,135.00,3.75,1.00000000e+00,3.00011993e+02,0.00000000e+00,-2.20520267e-14,-1.36321618e-13,1.39267395e-13
37,1,138.75,3.75,1.00000000e+00,3.00011505e+02,0.00000000e+00,-4.00945925e-15,-1.48350001e-13,1.51554266e-13
38,1,142.50,3.75,1.00000000e+00,3.00011292e+02,0.00000000e+00,1.80425675e-14,-1.36989866e-13,1.39179209e-13
39,1,146.25,3.75,1.00000000e+00,3.00011108e+02,0.00000000e+00,1.93790533e-14,-1.20952022e-13,1.23455106e-13
0,2,0.00,7.50,1.00000000e+00,3.00011505e+02,0.00000000e+00,1.00236490e-14,-1.55032427e-13,1.55821075e-13
1,2,3.75,7.50,1.00000000e+00,3.00011597e+02,0.00000000e+00,1.33648649e-15,-1.22288518e-13,1.22443613e-13
2,2,7.50,7.50,1.00000000e+00,3.00011902e+02,0.00000000e+00,-2.60614860e-14,-1.22956753e-13,1.25752300e-13
3,2,11.25,7.50,1.00000000e+00,3.00012268e+02,0.00000000e+00,-1.53695941e-14,-1.27634462e-13,1.30008959e-13
4,2,15.00,7.50,1.00000000e+00,3.00012817e+02,0.00000000e+00,1.87108104e-14,-1.43672292e-13,1.46761184e-13
5,2,18.75,7.50,1.00000000e+00,3.00013489e+02,0.00000000e+00,-6.01418931e-15,-1.45008788e-13,1.45319480e-13
6,2,22.50,7.50,1.00000000e+00,3.00014252e+02,0.00000000e+00,-1.20283786e-14,-1.38326349e-13,1.38927105e-13
7,2,26.25,7.50,1.00000000e+00,3.00015076e+02,0.00000000e+00,2.00472980e-14,-1.24961483e-13,1.26772629e-13
8,2,30.00,7.50,1.00000000e+00,3.00016052e+02,0.00000000e+00,-6.68243244e-16,-1.38326349e-13,1.38489277e-13
9,2,33.75,7.50,1.00000000e+00,3.00016907e+02,0.00000000e+00,-6.68243266e-15,-1.49686483e-13,1.51754491e-13
10,2,37.50,7.50,1.00000000e+00,3.00017853e+02,0.00000000e+00,-8.68716228e-15,-1.63051349e-13,1.63316788e-13
11,2,41.25,7.50,1.00000000e+00,3.00018799e+02,0.00000000e+00,-1.53695941e-14,-1.50354731e-13,1.52738540e-13
12,2,45.00,7.50,1.00000000e+00,3.00019806e+02,0.00000000e+00,-4.67770261e-15,-1.47681753e-13,1.47769411e-13
13,2,48.75,7.50,1.00000000e+00,3.00020813e+02,0.00000000e+00,9.35540521e-15,-1.37658114e-13,1.38756655e-13
14,2,52.50,7.50,1.00000000e+00,3.00021698e+02,0.00000000e+00,3.54168904e-14,-1.32312157e-13,1.37906044e-13
15,2,56.25,7.50,1.00000000e+00,3.00022583e+02,0.00000000e+00,2.94027023e-14,-1.44340540e-13,1.47488114e-13
16,2,60.00,7.50,1.00000000e+00,3.00023163e+02,0.00000000e+00,-6.68243244e-16,-1.28302696e-13,1.28998632e-13
17,2,63.75,7.50,1.00000000e+00,3.00023712e+02,0.00000000e+00,-7.35067558e-15,-1.33648653e-13,1.34516218e-13
