k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00022827e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00024139e+02,0.00000000e+00,0.00000000e+00,3.34121633e-15,-6.68243266e-15,-1.17209866e-12,1.17212251e-12
2,7.50,1.00000000e+00,3.00026978e+02,0.00000000e+00,0.00000000e+00,-8.01891851e-15,-2.73979736e-14,-1.23023586e-12,1.23056708e-12
3,11.25,1.00000000e+00,3.00031494e+02,0.00000000e+00,0.00000000e+00,1.33648649e-15,4.00945925e-15,-1.25028308e-12,1.25029024e-12
4,15.00,1.00000000e+00,3.00037842e+02,0.00000000e+00,0.00000000e+00,9.35540521e-15,-1.20283786e-14,-1.33247699e-12,1.33256405e-12
5,18.75,1.00000000e+00,3.00046570e+02,0.00000000e+00,0.00000000e+00,2.27202697e-14,1.00236490e-14,-1.36522098e-12,1.36544682e-12
6,22.50,1.00000000e+00,3.00058167e+02,0.00000000e+00,0.00000000e+00,4.14310818e-14,8.68716228e-15,-1.39529187e-12,1.39593393e-12
7,26.25,1.00000000e+00,3.00073486e+02,0.00000000e+00,0.00000000e+00,5.14547308e-14,-1.06918919e-14,-1.45476556e-12,1.45571456e-12
8,30.00,1.00000000e+00,3.00093140e+02,0.00000000e+00,0.00000000e+00,3.40804045e-14,-2.40567572e-14,-1.51022977e-12,1.51080580e-12
9,33.75,1.00000000e+00,3.00118164e+02,0.00000000e+00,0.00000000e+00,1.47013512e-14,-2.27202697e-14,-1.59376017e-12,1.59398991e-12
10,37.50,1.00000000e+00,3.00149841e+02,0.00000000e+00,0.00000000e+00,4.67770261e-15,-1.87108104e-14,-1.73208648e-12,1.73219382e-12
11,41.25,1.00000000e+00,3.00189301e+02,0.00000000e+00,0.00000000e+00,2.73979736e-14,-3.60851350e-14,-1.79222837e-12,1.79280093e-12
12,45.00,1.00000000e+00,3.00238190e+02,0.00000000e+00,0.00000000e+00,3.60851350e-14,-1.73743246e-14,-1.88778724e-12,1.88821203e-12
13,48.75,1.00000000e+00,3.00298035e+02,0.00000000e+00,0.00000000e+00,2.33885143e-14,-3.47486491e-14,-2.00606632e-12,2.00650347e-12
