step,du_rel,dT_rel,u_max,ux_surf_max
182000,0.000000e+00,3.760352e+01,0.000000e+00,0.000000e+00
184000,0.000000e+00,3.624805e+01,0.000000e+00,0.000000e+00
186000,0.000000e+00,3.455273e+01,0.000000e+00,0.000000e+00
188000,0.000000e+00,3.289062e+01,0.000000e+00,0.000000e+00
190000,0.000000e+00,3.200195e+01,0.000000e+00,0.000000e+00
192000,0.000000e+00,3.162109e+01,0.000000e+00,0.000000e+00
194000,0.000000e+00,3.145898e+01,0.000000e+00,0.000000e+00
196000,0.000000e+00,3.135742e+01,0.000000e+00,0.000000e+00
198000,0.000000e+00,2.890625e+01,0.000000e+00,0.000000e+00
200000,0.000000e+00,2.757031e+01,0.000000e+00,0.000000e+00
202000,0.000000e+00,2.669727e+01,0.000000e+00,0.000000e+00
204000,0.000000e+00,2.543555e+01,0.000000e+00,0.000000e+00
206000,0.000000e+00,2.413086e+01,0.000000e+00,0.000000e+00
208000,0.000000e+00,2.304297e+01,0.000000e+00,0.000000e+00
210000,0.000000e+00,2.180859e+01,0.000000e+00,0.000000e+00
212000,0.000000e+00,2.077148e+01,0.000000e+00,0.000000e+00
214000,0.000000e+00,1.984180e+01,0.000000e+00,0.000000e+00
216000,0.000000e+00,1.895898e+01,0.000000e+00,0.000000e+00
218000,0.000000e+00,1.821875e+01,0.000000e+00,0.000000e+00
220000,0.000000e+00,1.742969e+01,0.000000e+00,0.000000e+00
222000,0.000000e+00,1.670312e+01,0.000000e+00,0.000000e+00
224000,0.000000e+00,1.612109e+01,0.000000e+00,0.000000e+00
226000,0.000000e+00,1.577734e+01,0.000000e+00,0.000000e+00
228000,0.000000e+00,1.526172e+01,0.000000e+00,0.000000e+00
230000,0.000000e+00,1.429297e+01,0.000000e+00,0.000000e+00
232000,0.000000e+00,1.362109e+01,0.000000e+00,0.000000e+00
234000,0.000000e+00,1.300000e+01,0.000000e+00,0.000000e+00
236000,0.000000e+00,1.237305e+01,0.000000e+00,0.000000e+00
238000,0.000000e+00,1.183984e+01,0.000000e+00,0.000000e+00
240000,0.000000e+00,1.131445e+01,0.000000e+00,0.000000e+00
242000,0.000000e+00,1.083984e+01,0.000000e+00,0.000000e+00
244000,0.000000e+00,1.041992e+01,0.000000e+00,0.000000e+00
246000,0.000000e+00,9.992188e+00,0.000000e+00,0.000000e+00
248000,0.000000e+00,9.560547e+00,0.000000e+00,0.000000e+00
250000,0.000000e+00,9.199219e+00,0.000000e+00,0.000000e+00
252000,0.000000e+00,8.800781e+00,0.000000e+00,0.000000e+00
254000,0.000000e+00,8.460938e+00,0.000000e+00,0.000000e+00
256000,0.000000e+00,8.083984e+00,0.000000e+00,0.000000e+00
258000,0.000000e+00,7.666016e+00,0.000000e+00,0.000000e+00
260000,0.000000e+00,7.261719e+00,0.000000e+00,0.000000e+00
262000,0.000000e+00,6.890625e+00,0.000000e+00,0.000000e+00
264000,0.000000e+00,6.574219e+00,0.000000e+00,0.000000e+00
266000,0.000000e+00,6.277344e+00,0.000000e+00,0.000000e+00
268000,0.000000e+00,6.017578e+00,0.000000e+00,0.000000e+00
270000,0.000000e+00,5.804688e+00,0.000000e+00,0.000000e+00
272000,0.000000e+00,5.556641e+00,0.000000e+00,0.000000e+00
274000,0.000000e+00,5.316406e+00,0.000000e+00,0.000000e+00
276000,0.000000e+00,5.162109e+00,0.000000e+00,0.000000e+00
278000,0.000000e+00,4.953125e+00,0.000000e+00,0.000000e+00
280000,0.000000e+00,4.736328e+00,0.000000e+00,0.000000e+00
