# Rising bubble trajectory (lattice units)
# g_LB=3e-05 tau=0.7 nu_LB=0.0666667 rho_ratio=10 R=12 dx=0.0005 dt=3.91031e-05 vel_conv=12.7867
step,time_s,centroid_y_mm,velocity_mm_s,mass
1370,0.0535712,32.9132,91.2626,18704.9
1380,0.0539623,32.9496,92.9405,18704.9
1390,0.0543533,32.986,93.1259,18704.9
1400,0.0547443,33.023,94.5795,18704.9
1410,0.0551354,33.0598,94.0819,18704.9
1420,0.0555264,33.0966,94.2673,18704.9
1430,0.0559174,33.1326,92.004,18704.9
1440,0.0563085,33.1693,93.8576,18704.8
1450,0.0566995,33.2045,90.0627,18704.8
1460,0.0570905,33.242,95.8574,18704.8
1470,0.0574815,33.2795,95.9257,18704.8
1480,0.0578726,33.3167,95.1941,18704.8
1490,0.0582636,33.35,85.0483,18704.8
1500,0.0586546,33.3869,94.2965,18704.8
1510,0.0590457,33.4243,95.7891,18704.8
1520,0.0594367,33.4626,98.0231,18704.8
1530,0.0598277,33.5003,96.2867,18704.8
1540,0.0602188,33.5377,95.7404,18704.8
1550,0.0606098,33.5723,88.4042,18704.8
1560,0.0610008,33.6092,94.2673,18704.8
1570,0.0613919,33.646,94.1112,18704.8
1580,0.0617829,33.683,94.8331,18704.8
1590,0.0621739,33.7197,93.7893,18704.8
1600,0.0625649,33.7546,89.0871,18704.8
1610,0.062956,33.7907,92.5308,18704.8
1620,0.063347,33.8245,86.219,18704.8
1630,0.063738,33.86,90.9212,18704.7
1640,0.0641291,33.8958,91.6333,18704.7
1650,0.0645201,33.9316,91.3699,18704.7
1660,0.0649111,33.9669,90.4529,18704.7
1670,0.0653022,34.0025,90.9699,18704.7
1680,0.0656932,34.0376,89.6822,18704.7
1690,0.0660842,34.0729,90.3553,18704.7
1700,0.0664753,34.1082,90.3553,18704.7
1710,0.0668663,34.1432,89.409,18704.7
1720,0.0672573,34.1785,90.1992,18704.7
1730,0.0676484,34.2171,98.8328,18704.7
1740,0.0680394,34.2518,88.6969,18704.7
1750,0.0684304,34.2878,91.9552,18704.6
1760,0.0688214,34.3222,88.0238,18704.6
1770,0.0692125,34.3576,90.6285,18704.6
1780,0.0696035,34.3911,85.5654,18704.6
1790,0.0699945,34.4245,85.5069,18704.6
1800,0.0703856,34.4575,84.2874,18704.6
1810,0.0707766,34.4904,84.3167,18704.5
1820,0.0711676,34.523,83.1948,18704.5
1830,0.0715587,34.5561,84.7362,18704.5
1840,0.0719497,34.589,84.1899,18704.5
1850,0.0723407,34.6213,82.5705,18704.5
1860,0.0727317,34.6534,81.9949,18704.4
1870,0.0731228,34.6857,82.6973,18704.4
1880,0.0735138,34.7182,83.1168,18704.4
1890,0.0739048,34.7505,82.6778,18704.4
1900,0.0742959,34.7829,82.7851,18704.3
1910,0.0746869,34.8161,84.9118,18704.3
1920,0.0750779,34.8491,84.2386,18704.3
1930,0.075469,34.8813,82.5314,18704.3
1940,0.07586,34.9135,82.2973,18704.2
