ix,iy,x,y,T,ux,uy,rho
26,1,0.262626,0.010101,49310,0,0,nan
27,1,0.272727,0.010101,49333.3,0,0,nan
28,1,0.282828,0.010101,49354.9,0,0,nan
29,1,0.292929,0.010101,49374.5,0,0,nan
30,1,0.30303,0.010101,49392.6,0,0,nan
31,1,0.313131,0.010101,49409.1,0,0,nan
32,1,0.323232,0.010101,49424.3,0,0,nan
33,1,0.333333,0.010101,49438.2,0,0,nan
34,1,0.343434,0.010101,49451,0,0,nan
35,1,0.353535,0.010101,49462.6,0,0,nan
36,1,0.363636,0.010101,49473.3,0,0,nan
37,1,0.373737,0.010101,49482.9,0,0,nan
38,1,0.383838,0.010101,49491.7,0,0,nan
39,1,0.393939,0.010101,49499.6,0,0,nan
40,1,0.40404,0.010101,49506.7,0,0,nan
41,1,0.414141,0.010101,49512.9,0,0,nan
42,1,0.424242,0.010101,49518.4,0,0,nan
43,1,0.434343,0.010101,49523.2,0,0,nan
44,1,0.444444,0.010101,49527.2,0,0,nan
45,1,0.454545,0.010101,49530.6,0,0,nan
46,1,0.464646,0.010101,49533.2,0,0,nan
47,1,0.474747,0.010101,49535.2,0,0,nan
48,1,0.484848,0.010101,49536.6,0,0,nan
49,1,0.494949,0.010101,49537.3,0,0,nan
50,1,0.50505,0.010101,49537.3,0,0,nan
51,1,0.515152,0.010101,49536.7,0,0,nan
52,1,0.525253,0.010101,49535.4,0,0,nan
53,1,0.535354,0.010101,49533.4,0,0,nan
54,1,0.545455,0.010101,49530.8,0,0,nan
55,1,0.555556,0.010101,49527.5,0,0,nan
56,1,0.565657,0.010101,49523.5,0,0,nan
57,1,0.575758,0.010101,49518.8,0,0,nan
58,1,0.585859,0.010101,49513.3,0,0,nan
59,1,0.59596,0.010101,49507.1,0,0,nan
60,1,0.606061,0.010101,49500.1,0,0,nan
61,1,0.616162,0.010101,49492.2,0,0,nan
62,1,0.626263,0.010101,49483.5,0,0,nan
63,1,0.636364,0.010101,49473.9,0,0,nan
64,1,0.646465,0.010101,49463.3,0,0,nan
65,1,0.656566,0.010101,49451.6,0,0,nan
66,1,0.666667,0.010101,49438.9,0,0,nan
67,1,0.676768,0.010101,49425,0,0,nan
68,1,0.686869,0.010101,49409.8,0,0,nan
69,1,0.69697,0.010101,49393.3,0,0,nan
70,1,0.707071,0.010101,49375.2,0,0,nan
71,1,0.717172,0.010101,49355.6,0,0,nan
72,1,0.727273,0.010101,49334.1,0,0,nan
73,1,0.737374,0.010101,49310.8,0,0,nan
74,1,0.747475,0.010101,49284.9,0,0,nan
75,1,0.757576,0.010101,49257.1,0,0,nan
76,1,0.767677,0.010101,49225.9,0,0,nan
77,1,0.777778,0.010101,49192.4,0,0,nan
78,1,0.787879,0.010101,49154.4,0,0,nan
79,1,0.79798,0.010101,49113.7,0,0,nan
80,1,0.808081,0.010101,49066.4,0,0,nan
81,1,0.818182,0.010101,49016.3,0,0,nan
82,1,0.828283,0.010101,48956.2,0,0,nan
83,1,0.838384,0.010101,48893.4,0,0,nan
84,1,0.848485,0.010101,48814.7,0,0,nan
85,1,0.858586,0.010101,48734.5,0,0,nan
86,1,0.868687,0.010101,48627,0,0,nan
87,1,0.878788,0.010101,48521.8,0,0,nan
88,1,0.888889,0.010101,48366.4,0,0,nan
89,1,0.89899,0.010101,48223.9,0,0,nan
90,1,0.909091,0.010101,47981.3,0,0,nan
91,1,0.919192,0.010101,47779.6,0,0,nan
92,1,0.929293,0.010101,47355.2,0,0,nan
93,1,0.939394,0.010101,47051.4,0,0,nan
94,1,0.949495,0.010101,46166.5,0,0,nan
95,1,0.959596,0.010101,45660.8,0,0,nan
96,1,0.969697,0.010101,43127.4,0,0,nan
97,1,0.979798,0.010101,42098,0,0,nan
98,1,0.989899,0.010101,25000,0,0,nan
99,1,1,0.010101,0,0,0,nan
0,2,0,0.020202,1,0,0,nan
1,2,0.010101,0.020202,7902.52,0,0,nan
2,2,0.020202,0.020202,25000,0,0,nan
3,2,0.030303,0.020202,33644.1,0,0,nan
4,2,0.040404,0.020202,37042.1,0,0,nan
5,2,0.050505,0.020202,39933.2,0,0,nan
6,2,0.0606061,0.020202,41412,0,0,nan
7,2,0.0707071,0.020202,42774.8,0,0,nan
8,2,0.0808081,0.020202,43607.8,0,0,nan
9,2,0.0909091,0.020202,44381.4,0,0,nan
10,2,0.10101,0.020202,44915.8,0,0,nan
11,2,0.111111,0.020202,45409,0,0,nan
12,2,0.121212,0.020202,45780.1,0,0,nan
13,2,0.131313,0.020202,46120.3,0,0,nan
14,2,0.141414,0.020202,46392.1,0,0,nan
15,2,0.151515,0.020202,46640.2,0,0,nan
16,2,0.161616,0.020202,46846.9,0,0,nan
17,2,0.171717,0.020202,47035.5,0,0,nan
18,2,0.181818,0.020202,47197.4,0,0,nan
19,2,0.191919,0.020202,47345.2,0,0,nan
20,2,0.20202,0.020202,47474.8,0,0,nan
21,2,0.212121,0.020202,47593.3,0,0,nan
22,2,0.222222,0.020202,47698.9,0,0,nan
23,2,0.232323,0.020202,47795.6,0,0,nan
24,2,0.242424,0.020202,47882.7,0,0,nan
25,2,0.252525,0.020202,47962.7,0,0,nan
26,2,0.262626,0.020202,48035.3,0,0,nan
27,2,0.272727,0.020202,48102.1,0,0,nan
28,2,0.282828,0.020202,48162.9,0,0,nan
29,2,0.292929,0.020202,48218.9,0,0,nan
30,2,0.30303,0.020202,48270.2,0,0,nan
31,2,0.313131,0.020202,48317.3,0,0,nan
32,2,0.323232,0.020202,48360.5,0,0,nan
33,2,0.333333,0.020202,48400.2,0,0,nan
34,2,0.343434,0.020202,48436.4,0,0,nan
35,2,0.353535,0.020202,48469.6,0,0,nan
36,2,0.363636,0.020202,48499.8,0,0,nan
37,2,0.373737,0.020202,48527.3,0,0,nan
38,2,0.383838,0.020202,48552.2,0,0,nan
39,2,0.393939,0.020202,48574.7,0,0,nan
40,2,0.40404,0.020202,48594.8,0,0,nan
41,2,0.414141,0.020202,48612.6,0,0,nan
42,2,0.424242,0.020202,48628.2,0,0,nan
43,2,0.434343,0.020202,48641.8,0,0,nan
44,2,0.444444,0.020202,48653.4,0,0,nan
45,2,0.454545,0.020202,48662.9,0,0,nan
46,2,0.464646,0.020202,48670.4,0,0,nan
47,2,0.474747,0.020202,48676.1,0,0,nan
48,2,0.484848,0.020202,48679.9,0,0,nan
49,2,0.494949,0.020202,48681.9,0,0,nan
50,2,0.50505,0.020202,48682,0,0,nan
51,2,0.515152,0.020202,48680.2,0,0,nan
52,2,0.525253,0.020202,48676.5,0,0,nan
53,2,0.535354,0.020202,48670.9,0,0,nan
54,2,0.545455,0.020202,48663.5,0,0,nan
55,2,0.555556,0.020202,48654.1,0,0,nan
56,2,0.565657,0.020202,48642.7,0,0,nan
57,2,0.575758,0.020202,48629.2,0,0,nan
58,2,0.585859,0.020202,48613.7,0,0,nan
59,2,0.59596,0.020202,48596,0,0,nan
60,2,0.606061,0.020202,48576,0,0,nan
61,2,0.616162,0.020202,48553.7,0,0,nan
62,2,0.626263,0.020202,48528.9,0,0,nan
63,2,0.636364,0.020202,48501.5,0,0,nan
64,2,0.646465,0.020202,48471.3,0,0,nan
65,2,0.656566,0.020202,48438.2,0,0,nan
66,2,0.666667,0.020202,48402.1,0,0,nan
67,2,0.676768,0.020202,48362.5,0,0,nan
68,2,0.686869,0.020202,48319.4,0,0,nan
69,2,0.69697,0.020202,48272.3,0,0,nan
70,2,0.707071,0.020202,48221.1,0,0,nan
71,2,0.717172,0.020202,48165.1,0,0,nan
72,2,0.727273,0.020202,48104.2,0,0,nan
73,2,0.737374,0.020202,48037.5,0,0,nan
74,2,0.747475,0.020202,47964.9,0,0,nan
75,2,0.757576,0.020202,47884.9,0,0,nan
76,2,0.767677,0.020202,47797.7,0,0,nan
77,2,0.777778,0.020202,47700.9,0,0,nan
78,2,0.787879,0.020202,47595.3,0,0,nan
79,2,0.79798,0.020202,47476.8,0,0,nan
80,2,0.808081,0.020202,47347.2,0,0,nan
81,2,0.818182,0.020202,47199.3,0,0,nan
82,2,0.828283,0.020202,47037.4,0,0,nan
83,2,0.838384,0.020202,46848.7,0,0,nan
84,2,0.848485,0.020202,46641.9,0,0,nan
85,2,0.858586,0.020202,46393.7,0,0,nan
86,2,0.868687,0.020202,46121.9,0,0,nan
87,2,0.878788,0.020202,45781.5,0,0,nan
88,2,0.888889,0.020202,45410.4,0,0,nan
89,2,0.89899,0.020202,44917,0,0,nan
90,2,0.909091,0.020202,44382.4,0,0,nan
91,2,0.919192,0.020202,43608.7,0,0,nan
92,2,0.929293,0.020202,42775.6,0,0,nan
93,2,0.939394,0.020202,41412.6,0,0,nan
94,2,0.949495,0.020202,39933.7,0,0,nan
95,2,0.959596,0.020202,37042.4,0,0,nan
96,2,0.969697,0.020202,33644.1,0,0,nan
97,2,0.979798,0.020202,24999.7,0,0,nan
98,2,0.989899,0.020202,7901.75,0,0,nan
99,2,1,0.020202,0,0,0,nan
0,3,0,0.030303,1,0,0,nan
1,3,0.010101,0.030303,6872.95,0,0,nan
2,3,0.020202,0.030303,16355.1,0,0,nan
3,3,0.030303,0.030303,24999,0,0,nan
4,3,0.040404,0.030303,30520.8,0,0,nan
5,3,0.050505,0.030303,33854.7,0,0,nan
