x_um,T_K,fl,T_analytical,front_analytical_um,time_ms,snapshot
0,1923,0.99824,1923,9.62591,0.2,0
5.01253,1917.33,0.873969,1899.34,9.62591,0.2,0
10.0251,1909.23,0.694065,1878,9.62591,0.2,0
15.0376,1900.56,0.501416,1878,9.62591,0.2,0
20.0501,1891.91,0.309039,1878,9.62591,0.2,0
25.0627,1884.44,0.143216,1878,9.62591,0.2,0
30.0752,1879.71,0.0379774,1878,9.62591,0.2,0
35.0877,1878.07,0.00147569,1878,9.62591,0.2,0
40.1003,1877.93,0,1878,9.62591,0.2,0
45.1128,1877.93,0,1878,9.62591,0.2,0
50.1253,1877.93,0,1878,9.62591,0.2,0
55.1378,1877.94,0,1878,9.62591,0.2,0
60.1504,1877.95,0,1878,9.62591,0.2,0
65.1629,1877.97,0,1878,9.62591,0.2,0
70.1754,1877.99,0,1878,9.62591,0.2,0
75.188,1877.99,0,1878,9.62591,0.2,0
80.2005,1878,0,1878,9.62591,0.2,0
85.213,1878,0,1878,9.62591,0.2,0
90.2256,1878,0,1878,9.62591,0.2,0
95.2381,1878,0,1878,9.62591,0.2,0
100.251,1878,0,1878,9.62591,0.2,0
105.263,1878,0,1878,9.62591,0.2,0
110.276,1878,2.71267e-06,1878,9.62591,0.2,0
115.288,1878,0,1878,9.62591,0.2,0
120.301,1878,0,1878,9.62591,0.2,0
125.313,1878,0,1878,9.62591,0.2,0
130.326,1878,0,1878,9.62591,0.2,0
135.338,1878,0,1878,9.62591,0.2,0
140.351,1878,0,1878,9.62591,0.2,0
145.363,1878,0,1878,9.62591,0.2,0
150.376,1878,0,1878,9.62591,0.2,0
155.388,1878,0,1878,9.62591,0.2,0
160.401,1878,0,1878,9.62591,0.2,0
165.414,1878,0,1878,9.62591,0.2,0
170.426,1878,0,1878,9.62591,0.2,0
175.439,1878,0,1878,9.62591,0.2,0
180.451,1878,0,1878,9.62591,0.2,0
185.464,1878,0,1878,9.62591,0.2,0
190.476,1878,0,1878,9.62591,0.2,0
195.489,1878,0,1878,9.62591,0.2,0
200.501,1878,0,1878,9.62591,0.2,0
205.514,1878,0,1878,9.62591,0.2,0
210.526,1878,0,1878,9.62591,0.2,0
215.539,1878,0,1878,9.62591,0.2,0
220.551,1878,0,1878,9.62591,0.2,0
225.564,1878,0,1878,9.62591,0.2,0
230.576,1878,0,1878,9.62591,0.2,0
235.589,1878,0,1878,9.62591,0.2,0
240.602,1878,0,1878,9.62591,0.2,0
245.614,1878,0,1878,9.62591,0.2,0
250.627,1878,0,1878,9.62591,0.2,0
255.639,1878,0,1878,9.62591,0.2,0
260.652,1878,0,1878,9.62591,0.2,0
265.664,1878,0,1878,9.62591,0.2,0
270.677,1878,0,1878,9.62591,0.2,0
275.689,1878,0,1878,9.62591,0.2,0
280.702,1878,0,1878,9.62591,0.2,0
285.714,1878,0,1878,9.62591,0.2,0
290.727,1878,0,1878,9.62591,0.2,0
295.739,1878,0,1878,9.62591,0.2,0
300.752,1878,0,1878,9.62591,0.2,0
305.764,1878,0,1878,9.62591,0.2,0
310.777,1878,0,1878,9.62591,0.2,0
315.789,1878,0,1878,9.62591,0.2,0
320.802,1878,0,1878,9.62591,0.2,0
325.815,1878,0,1878,9.62591,0.2,0
330.827,1878,0,1878,9.62591,0.2,0
335.84,1878,0,1878,9.62591,0.2,0
340.852,1878,0,1878,9.62591,0.2,0
345.865,1878,0,1878,9.62591,0.2,0
350.877,1878,0,1878,9.62591,0.2,0
355.89,1878,0,1878,9.62591,0.2,0
360.902,1878,0,1878,9.62591,0.2,0
365.915,1878,0,1878,9.62591,0.2,0
370.927,1878,0,1878,9.62591,0.2,0
375.94,1878,0,1878,9.62591,0.2,0
380.952,1878,0,1878,9.62591,0.2,0
385.965,1878,0,1878,9.62591,0.2,0
390.977,1878,0,1878,9.62591,0.2,0
395.99,1878,0,1878,9.62591,0.2,0
401.003,1878,0,1878,9.62591,0.2,0
406.015,1878,0,1878,9.62591,0.2,0
411.028,1878,0,1878,9.62591,0.2,0
416.04,1878,0,1878,9.62591,0.2,0
421.053,1878,0,1878,9.62591,0.2,0
426.065,1878,0,1878,9.62591,0.2,0
431.078,1878,0,1878,9.62591,0.2,0
436.09,1878,0,1878,9.62591,0.2,0
441.103,1878,0,1878,9.62591,0.2,0
446.115,1878,0,1878,9.62591,0.2,0
451.128,1878,0,1878,9.62591,0.2,0
456.14,1878,0,1878,9.62591,0.2,0
461.153,1878,0,1878,9.62591,0.2,0
466.165,1878,0,1878,9.62591,0.2,0
471.178,1878,0,1878,9.62591,0.2,0
476.19,1878,0,1878,9.62591,0.2,0
481.203,1878,0,1878,9.62591,0.2,0
486.216,1878,0,1878,9.62591,0.2,0
491.228,1878,0,1878,9.62591,0.2,0
496.241,1878,0,1878,9.62591,0.2,0
501.253,1878,0,1878,9.62591,0.2,0
506.266,1878,0,1878,9.62591,0.2,0
511.278,1878,0,1878,9.62591,0.2,0
516.291,1878,0,1878,9.62591,0.2,0
521.303,1878,0,1878,9.62591,0.2,0
526.316,1878,0,1878,9.62591,0.2,0
531.328,1878,0,1878,9.62591,0.2,0
536.341,1878,0,1878,9.62591,0.2,0
541.353,1878,0,1878,9.62591,0.2,0
546.366,1878,0,1878,9.62591,0.2,0
551.378,1878,0,1878,9.62591,0.2,0
556.391,1878,0,1878,9.62591,0.2,0
561.404,1878,0,1878,9.62591,0.2,0
566.416,1878,0,1878,9.62591,0.2,0
571.429,1878,0,1878,9.62591,0.2,0
576.441,1878,0,1878,9.62591,0.2,0
581.454,1878,0,1878,9.62591,0.2,0
586.466,1878,0,1878,9.62591,0.2,0
591.479,1878,0,1878,9.62591,0.2,0
596.491,1878,0,1878,9.62591,0.2,0
601.504,1878,0,1878,9.62591,0.2,0
606.516,1878,0,1878,9.62591,0.2,0
611.529,1878,0,1878,9.62591,0.2,0
616.541,1878,0,1878,9.62591,0.2,0
621.554,1878,0,1878,9.62591,0.2,0
626.566,1878,0,1878,9.62591,0.2,0
631.579,1878,0,1878,9.62591,0.2,0
636.591,1878,0,1878,9.62591,0.2,0
641.604,1878,0,1878,9.62591,0.2,0
646.617,1878,0,1878,9.62591,0.2,0
651.629,1878,0,1878,9.62591,0.2,0
656.642,1878,0,1878,9.62591,0.2,0
661.654,1878,0,1878,9.62591,0.2,0
666.667,1878,0,1878,9.62591,0.2,0
671.679,1878,0,1878,9.62591,0.2,0
676.692,1878,0,1878,9.62591,0.2,0
681.704,1878,0,1878,9.62591,0.2,0
686.717,1878,0,1878,9.62591,0.2,0
691.729,1878,0,1878,9.62591,0.2,0
696.742,1878,0,1878,9.62591,0.2,0
701.754,1878,0,1878,9.62591,0.2,0
706.767,1878,0,1878,9.62591,0.2,0
711.779,1878,0,1878,9.62591,0.2,0
716.792,1878,0,1878,9.62591,0.2,0
721.805,1878,0,1878,9.62591,0.2,0
726.817,1878,0,1878,9.62591,0.2,0
731.83,1878,0,1878,9.62591,0.2,0
736.842,1878,0,1878,9.62591,0.2,0
741.855,1878,0,1878,9.62591,0.2,0
746.867,1878,0,1878,9.62591,0.2,0
751.88,1878,0,1878,9.62591,0.2,0
756.892,1878,0,1878,9.62591,0.2,0
