k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
2,7.50,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
3,11.25,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
4,15.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
5,18.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
6,22.50,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
7,26.25,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
8,30.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
9,33.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
10,37.50,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
11,41.25,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
12,45.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
13,48.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
14,52.50,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
15,56.25,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
16,60.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
17,63.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
18,67.50,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
19,71.25,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
20,75.00,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
21,78.75,1.00000000e+00,3.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.00945925e-15,4.00945925e-15
22,82.50,1.00000000e+00,3.00000031e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
23,86.25,1.00000000e+00,3.00000153e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
24,90.00,1.00000000e+00,3.00000549e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,93.75,1.00000000e+00,3.00001923e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,97.50,1.00000000e+00,3.00004181e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
27,101.25,1.00000000e+00,3.00006195e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
28,105.00,1.00000000e+00,3.00007690e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
