k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
0,0.00,1.00000000e+00,3.00001709e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,3.75,1.00000000e+00,3.00001709e+02,0.00000000e+00,0.00000000e+00,-4.00945925e-15,-7.35067558e-15,-8.68716228e-15,1.20654456e-14
2,7.50,1.00000000e+00,3.00001770e+02,0.00000000e+00,0.00000000e+00,-6.68243266e-15,-6.68243266e-15,-4.67770261e-15,1.05447005e-14
3,11.25,1.00000000e+00,3.00001984e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.34594596e-15,-6.01418931e-15,8.04671390e-15
4,15.00,1.00000000e+00,3.00002502e+02,0.00000000e+00,0.00000000e+00,-2.00472963e-15,-1.06918919e-14,7.35067558e-15,1.31288972e-14
5,18.75,1.00000000e+00,3.00003174e+02,0.00000000e+00,0.00000000e+00,4.67770261e-15,6.68243244e-16,2.67297298e-15,5.42883364e-15
6,22.50,1.00000000e+00,3.00003937e+02,0.00000000e+00,0.00000000e+00,-1.33648649e-15,-8.01891851e-15,-4.67770261e-15,9.37923987e-15
7,26.25,1.00000000e+00,3.00005432e+02,0.00000000e+00,0.00000000e+00,-2.67297298e-15,-8.01891851e-15,-1.33648649e-15,8.55768822e-15
8,30.00,1.00000000e+00,3.00007446e+02,0.00000000e+00,0.00000000e+00,2.00472963e-15,1.33648649e-15,1.33648649e-15,2.75523724e-15
9,33.75,1.00000000e+00,3.00010468e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.01418931e-15,-4.67770261e-15,7.61914522e-15
10,37.50,1.00000000e+00,3.00014893e+02,0.00000000e+00,0.00000000e+00,-3.34121633e-15,-5.34594596e-15,2.67297298e-15,6.84745585e-15
11,41.25,1.00000000e+00,3.00021606e+02,0.00000000e+00,0.00000000e+00,-6.68243244e-16,-1.06918919e-14,1.40331082e-14,1.76547806e-14
12,45.00,1.00000000e+00,3.00031128e+02,0.00000000e+00,0.00000000e+00,-8.68716228e-15,-1.33648649e-15,4.67770261e-15,9.95660040e-15
13,48.75,1.00000000e+00,3.00044495e+02,0.00000000e+00,0.00000000e+00,-1.47013512e-14,8.01891851e-15,-6.68243244e-16,1.67594549e-14
14,52.50,1.00000000e+00,3.00062988e+02,0.00000000e+00,0.00000000e+00,-1.47013512e-14,2.67297298e-15,3.34121633e-15,1.53113758e-14
15,56.25,1.00000000e+00,3.00086578e+02,0.00000000e+00,0.00000000e+00,-8.01891851e-15,-2.67297298e-15,4.67770261e-15,9.66068012e-15
16,60.00,1.00000000e+00,3.00113586e+02,0.00000000e+00,0.00000000e+00,-3.34121633e-15,2.67297298e-15,0.00000000e+00,4.27884453e-15
17,63.75,1.00000000e+00,3.00143524e+02,0.00000000e+00,0.00000000e+00,-6.01418931e-15,6.01418931e-15,4.67770261e-15,9.70679429e-15
18,67.50,1.00000000e+00,3.00177399e+02,0.00000000e+00,0.00000000e+00,-1.26966215e-14,3.34121633e-15,1.33648653e-14,1.87346612e-14
19,71.25,1.00000000e+00,3.00216614e+02,0.00000000e+00,0.00000000e+00,-1.13601348e-14,4.00945925e-15,2.13837838e-14,2.45437300e-14
20,75.00,1.00000000e+00,3.00262573e+02,0.00000000e+00,0.00000000e+00,-2.67297306e-14,7.35067558e-15,5.07864862e-14,5.78599871e-14
21,78.75,1.00000000e+00,3.00317078e+02,0.00000000e+00,0.00000000e+00,-5.47959471e-14,5.34594596e-15,1.16942561e-13,1.29254544e-13
22,82.50,1.00000000e+00,3.00382202e+02,0.00000000e+00,0.00000000e+00,-2.00472980e-14,5.34594596e-15,4.34358123e-14,4.81367130e-14
23,86.25,1.00000000e+00,3.00460144e+02,0.00000000e+00,0.00000000e+00,-2.20520267e-14,4.00945925e-15,3.40804045e-14,4.07902167e-14
24,90.00,1.00000000e+00,3.00553864e+02,0.00000000e+00,0.00000000e+00,-6.81608090e-14,9.35540521e-15,1.31643923e-13,1.48538015e-13
25,93.75,1.00000000e+00,3.00666718e+02,0.00000000e+00,0.00000000e+00,-6.01418939e-14,1.26966215e-14,1.23625001e-13,1.38063009e-13
26,97.50,1.00000000e+00,3.00802826e+02,0.00000000e+00,0.00000000e+00,-6.74925678e-14,7.35067558e-15,1.23625001e-13,1.41040486e-13
27,101.25,1.00000000e+00,3.00966888e+02,0.00000000e+00,0.00000000e+00,-7.01655395e-14,-3.34121633e-15,1.61714866e-13,1.76312415e-13
28,105.00,1.00000000e+00,3.01164612e+02,0.00000000e+00,0.00000000e+00,-7.21702700e-14,-1.06918919e-14,2.39231080e-13,2.50108717e-13
29,108.75,1.00000000e+00,3.01403137e+02,0.00000000e+00,0.00000000e+00,-6.94972983e-14,5.34594596e-15,2.17179058e-13,2.28090333e-13
