k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
40,150.00,1.00000000e+00,3.00736542e+02,0.00000000e+00,0.00000000e+00,1.90649796e-12,6.68243244e-16,2.21021448e-11,2.21842180e-11
41,153.75,1.00000000e+00,3.00887543e+02,0.00000000e+00,0.00000000e+00,1.13267230e-12,-1.14269596e-13,2.11478942e-11,2.11785138e-11
42,157.50,1.00000000e+00,3.01069763e+02,0.00000000e+00,0.00000000e+00,2.48586498e-13,-2.37226363e-13,2.00439561e-11,2.00469016e-11
43,161.25,1.00000000e+00,3.01289490e+02,0.00000000e+00,0.00000000e+00,-7.10342592e-13,-3.86244584e-13,1.88424554e-11,1.88597957e-11
44,165.00,1.00000000e+00,3.01554382e+02,0.00000000e+00,0.00000000e+00,-1.72139462e-12,-5.31253372e-13,1.75734600e-11,1.76655583e-11
45,168.75,1.00000000e+00,3.01873901e+02,0.00000000e+00,0.00000000e+00,-2.77120471e-12,-6.74925664e-13,1.63646093e-11,1.66113078e-11
46,172.50,1.00000000e+00,3.02259460e+02,0.00000000e+00,0.00000000e+00,-3.77624277e-12,-7.73157417e-13,1.51898372e-11,1.56712768e-11
47,176.25,1.00000000e+00,3.02724274e+02,0.00000000e+00,0.00000000e+00,-4.70510089e-12,-8.24612188e-13,1.41460411e-11,1.49307892e-11
48,180.00,1.00000000e+00,3.03285156e+02,0.00000000e+00,0.00000000e+00,-5.53706343e-12,-7.93872997e-13,1.31630557e-11,1.43022842e-11
49,183.75,1.00000000e+00,3.03961700e+02,0.00000000e+00,0.00000000e+00,-6.26210759e-12,-7.07001352e-13,1.22188275e-11,1.37482213e-11
50,187.50,1.00000000e+00,3.04777863e+02,0.00000000e+00,0.00000000e+00,-6.84882489e-12,-5.65333804e-13,1.13387511e-11,1.32587058e-11
51,191.25,1.00000000e+00,3.05762146e+02,0.00000000e+00,0.00000000e+00,-7.25912646e-12,-4.25002698e-13,1.05208221e-11,1.27891846e-11
52,195.00,1.00000000e+00,3.06949493e+02,0.00000000e+00,0.00000000e+00,-7.54045697e-12,-3.30112158e-13,9.82852168e-12,1.23922279e-11
53,198.75,1.00000000e+00,3.08381683e+02,0.00000000e+00,0.00000000e+00,-7.64603918e-12,-3.47486498e-13,9.22108830e-12,1.19837864e-11
54,202.50,1.00000000e+00,3.10109314e+02,0.00000000e+00,0.00000000e+00,-7.61396328e-12,-4.46386499e-13,8.69718620e-12,1.15677459e-11
55,206.25,1.00000000e+00,3.12193237e+02,0.00000000e+00,0.00000000e+00,-7.46093552e-12,-6.40177039e-13,8.03027870e-12,1.09800164e-11
56,210.00,1.00000000e+00,3.14707062e+02,0.00000000e+00,0.00000000e+00,-7.24108360e-12,-8.48668900e-13,7.24576172e-12,1.02788420e-11
57,213.75,1.00000000e+00,3.17739197e+02,0.00000000e+00,0.00000000e+00,-7.05063438e-12,-1.01572971e-12,6.08301820e-12,9.36729774e-12
58,217.50,1.00000000e+00,3.21396576e+02,0.00000000e+00,0.00000000e+00,-6.96910888e-12,-1.10126491e-12,4.69908661e-12,8.47718597e-12
59,221.25,1.00000000e+00,3.25808228e+02,0.00000000e+00,0.00000000e+00,-7.10075271e-12,-1.09391424e-12,2.81597705e-12,7.71667452e-12
60,225.00,1.00000000e+00,3.31129761e+02,0.00000000e+00,0.00000000e+00,-7.46294086e-12,-1.00236486e-12,8.24612188e-13,7.57497277e-12
61,228.75,1.00000000e+00,3.37548767e+02,0.00000000e+00,0.00000000e+00,-8.04030280e-12,-8.74062162e-13,-1.58574120e-12,8.24166430e-12
62,232.50,1.00000000e+00,3.45291260e+02,0.00000000e+00,0.00000000e+00,-8.73126658e-12,-7.27716878e-13,-3.63791614e-12,9.48678115e-12
63,236.25,1.00000000e+00,3.54631714e+02,0.00000000e+00,0.00000000e+00,-9.47234825e-12,-5.55310138e-13,-5.86851227e-12,1.11567552e-11
