X_um,Z_um
51.9492,143.0000
51.7832,145.0000
51.6303,147.0000
51.3609,149.0000
52.0000,142.6512
53.6882,137.0000
52.6980,139.0000
52.1781,141.0000
54.0000,135.9396
55.9933,131.0000
54.9660,133.0000
54.1935,135.0000
56.0000,130.9870
57.9987,127.0000
56.8877,129.0000
58.0000,126.9977
59.0146,125.0000
60.0000,123.2301
61.1583,121.0000
60.1093,123.0000
62.0000,119.3710
63.0811,117.0000
62.1534,119.0000
64.0000,115.0643
65.9126,111.0000
64.8108,113.0000
64.0243,115.0000
66.0000,110.7694
67.4913,107.0000
66.4822,109.0000
68.0000,105.4078
69.8302,101.0000
68.7284,103.0000
68.0861,105.0000
70.0000,100.4840
71.1079,97.0000
70.3121,99.0000
72.0000,95.0528
73.9886,91.0000
72.8214,93.0000
72.0179,95.0000
74.0000,90.9818
74.9732,89.0000
76.0000,87.4399
77.9033,85.0000
76.2310,87.0000
78.0000,84.8863
79.5770,83.0000
80.0000,82.5635
81.3588,81.0000
82.0000,80.3951
83.8241,79.0000
84.0000,78.8582
86.0000,77.1196
86.2176,77.0000
88.0000,75.8691
90.0000,75.0390
90.1461,75.0000
92.0000,74.2448
94.0000,73.5346
96.0000,73.1634
97.9619,73.0000
98.0000,72.9941
100.0000,72.9779
102.0000,72.9942
102.0381,73.0000
104.0000,73.1634
106.0000,73.5346
108.0000,74.2448
109.8539,75.0000
110.0000,75.0390
112.0000,75.8691
113.7823,77.0000
114.0000,77.1196
116.0000,78.8582
116.1758,79.0000
118.0000,80.3952
118.6411,81.0000
120.0000,82.5637
120.4228,83.0000
122.0000,84.8863
122.0967,85.0000
123.7690,87.0000
124.0000,87.4400
125.0267,89.0000
126.0000,90.9818
126.0114,91.0000
127.1786,93.0000
127.9821,95.0000
128.0000,95.0529
128.8921,97.0000
129.6879,99.0000
130.0000,100.4841
130.1697,101.0000
131.2716,103.0000
131.9139,105.0000
132.0000,105.4081
132.5086,107.0000
133.5178,109.0000
134.0000,110.7694
134.0873,111.0000
135.1892,113.0000
135.9757,115.0000
136.0000,115.0644
136.9188,117.0000
137.8466,119.0000
138.0000,119.3711
138.8416,121.0000
139.8906,123.0000
140.0000,123.2302
140.9854,125.0000
142.0000,126.9977
142.0013,127.0000
143.1122,129.0000
144.0000,130.9870
144.0067,131.0000
145.0340,133.0000
145.8064,135.0000
146.0000,135.9397
146.3118,137.0000
147.3020,139.0000
147.8219,141.0000
148.0000,142.6512
148.0508,143.0000
148.2168,145.0000
148.3696,147.0000
148.6391,149.0000
