X_um,Z_um
49.9264,137.0000
49.3294,139.0000
48.8035,141.0000
48.4568,143.0000
48.2464,145.0000
48.1236,147.0000
48.0625,149.0000
50.0000,136.6675
51.8905,131.0000
50.9071,133.0000
50.2785,135.0000
52.0000,130.6942
53.6186,127.0000
52.4748,129.0000
54.0000,125.9312
55.9974,121.0000
55.0698,123.0000
54.2339,125.0000
56.0000,120.9944
57.9023,117.0000
56.7806,119.0000
58.0000,116.7538
59.6992,113.0000
58.5274,115.0000
60.0000,112.0547
61.9333,107.0000
60.9536,109.0000
60.2249,111.0000
62.0000,106.8066
63.9918,101.0000
63.2952,103.0000
62.4655,105.0000
64.0000,100.9765
65.9935,95.0000
65.3534,97.0000
64.5427,99.0000
66.0000,94.9812
67.9951,89.0000
67.3094,91.0000
66.5250,93.0000
68.0000,88.9872
69.7224,85.0000
68.5835,87.0000
70.0000,84.1385
71.0380,81.0000
70.2255,83.0000
72.0000,79.1488
73.0581,77.0000
72.0600,79.0000
74.0000,75.4656
75.8503,73.0000
74.2269,75.0000
76.0000,72.8070
77.0664,71.0000
78.0000,69.9302
78.7365,69.0000
80.0000,67.7078
80.7237,67.0000
82.0000,65.8791
83.4267,65.0000
84.0000,64.5688
86.0000,63.0186
86.0354,63.0000
88.0000,61.8102
90.0000,61.0481
90.2144,61.0000
92.0000,60.3630
94.0000,59.6280
96.0000,59.2556
98.0000,59.0649
100.0000,59.0055
102.0000,59.0649
104.0000,59.2556
106.0000,59.6280
108.0000,60.3630
109.7855,61.0000
110.0000,61.0481
112.0000,61.8103
113.9645,63.0000
114.0000,63.0186
116.0000,64.5690
116.5731,65.0000
118.0000,65.8792
119.2762,67.0000
120.0000,67.7079
121.2635,69.0000
122.0000,69.9303
122.9335,71.0000
124.0000,72.8071
124.1497,73.0000
125.7730,75.0000
126.0000,75.4658
126.9418,77.0000
127.9400,79.0000
128.0000,79.1490
128.9620,81.0000
129.7744,83.0000
130.0000,84.1387
130.2776,85.0000
131.4164,87.0000
132.0000,88.9872
132.0049,89.0000
132.6905,91.0000
133.4749,93.0000
134.0000,94.9812
134.0065,95.0000
134.6465,97.0000
135.4573,99.0000
136.0000,100.9766
136.0082,101.0000
136.7047,103.0000
137.5344,105.0000
138.0000,106.8066
138.0667,107.0000
139.0463,109.0000
139.7751,111.0000
140.0000,112.0548
140.3008,113.0000
141.4725,115.0000
142.0000,116.7538
142.0976,117.0000
143.2193,119.0000
144.0000,120.9944
144.0026,121.0000
144.9301,123.0000
145.7661,125.0000
146.0000,125.9314
146.3813,127.0000
147.5251,129.0000
148.0000,130.6943
148.1094,131.0000
149.0928,133.0000
149.7214,135.0000
150.0000,136.6676
150.0736,137.0000
150.6704,139.0000
151.1965,141.0000
151.5432,143.0000
151.7535,145.0000
151.8764,147.0000
151.9374,149.0000
