X_um,Z_um
71.4577,129.0000
73.0000,127.5660
73.6782,127.0000
75.0000,125.8947
77.0000,125.6199
77.2831,125.0000
79.0000,123.6401
81.0000,123.2014
83.0000,123.4396
84.9616,123.0000
85.0000,122.9511
85.6211,121.0000
87.0000,120.1509
89.0000,119.7920
91.0000,119.5455
93.0000,119.6421
95.0000,119.3464
97.0000,119.1462
99.0000,119.0546
101.0000,119.0546
103.0000,119.1462
105.0000,119.3464
107.0000,119.6421
109.0000,119.5455
111.0000,119.7920
113.0000,120.1509
114.3789,121.0000
115.0000,122.9511
115.0384,123.0000
117.0000,123.4396
119.0000,123.2014
121.0000,123.6401
122.7169,125.0000
123.0000,125.6199
125.0000,125.8947
126.3218,127.0000
127.0000,127.5660
128.5423,129.0000
128.5868,131.0000
129.0000,131.4221
130.5211,133.0000
131.0000,133.5303
132.3000,135.0000
133.0000,135.8555
134.7779,137.0000
135.0000,137.1545
136.3868,139.0000
136.7221,141.0000
137.0000,141.2456
138.1342,143.0000
138.4053,145.0000
138.5756,147.0000
138.3803,149.0000
61.6197,149.0000
61.4244,147.0000
61.5947,145.0000
61.8658,143.0000
63.0000,141.2456
63.2779,141.0000
63.6132,139.0000
65.0000,137.1545
65.2221,137.0000
67.0000,135.8555
67.7000,135.0000
69.0000,133.5303
69.4789,133.0000
71.0000,131.4221
71.4132,131.0000
