X_um,Z_um,T_K
0.00,51.00,300.0
2.00,51.00,300.0
4.00,51.00,300.0
6.00,51.00,300.0
8.00,51.00,300.0
10.00,51.00,300.0
12.00,51.00,300.1
14.00,51.00,300.1
16.00,51.00,300.1
18.00,51.00,300.1
20.00,51.00,300.2
22.00,51.00,300.3
24.00,51.00,300.3
26.00,51.00,300.5
28.00,51.00,300.6
30.00,51.00,300.8
32.00,51.00,301.0
34.00,51.00,301.3
36.00,51.00,301.6
38.00,51.00,302.1
40.00,51.00,302.6
42.00,51.00,303.2
44.00,51.00,303.9
46.00,51.00,304.8
48.00,51.00,305.8
50.00,51.00,307.0
52.00,51.00,308.3
54.00,51.00,309.9
56.00,51.00,311.6
58.00,51.00,313.5
60.00,51.00,315.6
62.00,51.00,317.9
64.00,51.00,320.3
66.00,51.00,323.0
68.00,51.00,325.8
70.00,51.00,328.6
72.00,51.00,331.6
74.00,51.00,334.7
76.00,51.00,337.7
78.00,51.00,340.8
80.00,51.00,343.8
82.00,51.00,346.7
84.00,51.00,349.5
86.00,51.00,352.2
88.00,51.00,354.6
90.00,51.00,356.8
92.00,51.00,358.8
94.00,51.00,360.4
96.00,51.00,361.7
98.00,51.00,362.6
100.00,51.00,363.1
102.00,51.00,363.2
104.00,51.00,362.9
106.00,51.00,362.2
108.00,51.00,361.0
110.00,51.00,359.5
112.00,51.00,357.7
114.00,51.00,355.5
116.00,51.00,353.0
118.00,51.00,350.2
120.00,51.00,347.3
122.00,51.00,344.2
124.00,51.00,341.0
126.00,51.00,337.8
128.00,51.00,334.6
130.00,51.00,331.4
132.00,51.00,328.3
134.00,51.00,325.3
136.00,51.00,322.5
138.00,51.00,319.8
140.00,51.00,317.3
142.00,51.00,315.0
144.00,51.00,312.9
146.00,51.00,311.0
148.00,51.00,309.3
150.00,51.00,307.8
152.00,51.00,306.5
154.00,51.00,305.4
156.00,51.00,304.4
158.00,51.00,303.6
160.00,51.00,302.9
162.00,51.00,302.3
164.00,51.00,301.8
166.00,51.00,301.5
168.00,51.00,301.1
170.00,51.00,300.9
172.00,51.00,300.7
174.00,51.00,300.5
176.00,51.00,300.4
178.00,51.00,300.3
180.00,51.00,300.2
182.00,51.00,300.2
184.00,51.00,300.1
186.00,51.00,300.1
188.00,51.00,300.1
190.00,51.00,300.1
192.00,51.00,300.0
194.00,51.00,300.0
196.00,51.00,300.0
198.00,51.00,300.0
0.00,53.00,300.0
2.00,53.00,300.0
4.00,53.00,300.0
6.00,53.00,300.0
8.00,53.00,300.0
10.00,53.00,300.0
12.00,53.00,300.1
14.00,53.00,300.1
16.00,53.00,300.1
18.00,53.00,300.2
20.00,53.00,300.2
22.00,53.00,300.3
24.00,53.00,300.4
26.00,53.00,300.5
28.00,53.00,300.7
30.00,53.00,300.9
32.00,53.00,301.1
34.00,53.00,301.4
36.00,53.00,301.8
38.00,53.00,302.3
40.00,53.00,302.8
42.00,53.00,303.5
44.00,53.00,304.3
46.00,53.00,305.3
48.00,53.00,306.4
