X_um,Z_um
77.7706,137.0000
79.0000,136.1012
81.0000,135.5556
83.0000,135.3624
83.7121,135.0000
85.0000,133.9070
87.0000,133.2415
87.4595,133.0000
89.0000,132.2535
91.0000,131.8948
93.0000,131.9235
95.0000,131.6284
97.0000,131.4380
99.0000,131.3474
101.0000,131.3474
103.0000,131.4380
105.0000,131.6284
107.0000,131.9235
109.0000,131.8948
111.0000,132.2535
112.5405,133.0000
113.0000,133.2415
115.0000,133.9070
116.2879,135.0000
117.0000,135.3624
119.0000,135.5556
121.0000,136.1012
122.2294,137.0000
123.0000,137.7663
124.7679,139.0000
125.0000,139.1579
127.0000,140.2473
127.7975,141.0000
129.0000,142.1683
129.8062,143.0000
130.8595,145.0000
131.0000,145.2248
132.1328,147.0000
132.4630,149.0000
67.5370,149.0000
67.8672,147.0000
69.0000,145.2248
69.1405,145.0000
70.1938,143.0000
71.0000,142.1683
72.2025,141.0000
73.0000,140.2473
75.0000,139.1579
75.2321,139.0000
77.0000,137.7663
