X_um,Z_um
77.0000,115.4903
77.3732,115.0000
77.6482,113.0000
78.1374,111.0000
79.0000,109.6086
79.4706,109.0000
81.0000,107.2290
81.1240,107.0000
81.3258,105.0000
83.0000,103.2749
83.1789,103.0000
83.8195,101.0000
85.0000,99.6049
85.5205,99.0000
87.0000,97.6474
87.8247,97.0000
89.0000,96.1302
91.0000,95.2473
91.4366,95.0000
93.0000,93.8770
95.0000,93.1852
97.0000,93.1488
98.3958,93.0000
99.0000,92.8391
101.0000,92.8391
101.6044,93.0000
103.0000,93.1488
105.0000,93.1852
107.0000,93.8770
108.5623,95.0000
109.0000,95.2480
111.0000,96.1300
112.1755,97.0000
113.0000,97.6472
114.4797,99.0000
115.0000,99.6046
116.1807,101.0000
116.8212,103.0000
117.0000,103.2748
118.6743,105.0000
118.8760,107.0000
119.0000,107.2289
120.5294,109.0000
121.0000,109.6085
121.8626,111.0000
122.3519,113.0000
122.6269,115.0000
123.0000,115.4902
123.8806,117.0000
124.2700,119.0000
124.3970,121.0000
124.9234,123.0000
124.5327,125.0000
124.8856,127.0000
125.0000,127.2031
126.8671,129.0000
126.4783,131.0000
126.8850,133.0000
127.0000,133.1856
128.1944,135.0000
128.6483,137.0000
129.0000,137.5396
130.8134,139.0000
130.3826,141.0000
131.0000,142.0444
132.0829,143.0000
131.7597,145.0000
131.8259,147.0000
131.8334,149.0000
68.1667,149.0000
68.1741,147.0000
68.2403,145.0000
67.9171,143.0000
69.0000,142.0444
69.6174,141.0000
69.1866,139.0000
71.0000,137.5396
71.3516,137.0000
71.8056,135.0000
73.0000,133.1856
73.1150,133.0000
73.5217,131.0000
73.1329,129.0000
75.0000,127.2031
75.1144,127.0000
75.4673,125.0000
75.0767,123.0000
75.6031,121.0000
75.7301,119.0000
76.1194,117.0000
