X_um,Z_um
67.9373,147.0000
66.7181,149.0000
68.0000,146.9009
69.0743,145.0000
70.0000,143.8389
70.6832,143.0000
72.0000,141.6294
72.6723,141.0000
74.0000,139.8822
75.5615,139.0000
76.0000,138.6926
78.0000,137.0809
78.1446,137.0000
80.0000,135.9135
82.0000,135.0619
82.1698,135.0000
84.0000,134.1972
86.0000,133.4446
87.9791,133.0000
88.0000,132.9939
90.0000,132.7527
92.0000,132.0160
94.0000,131.6572
96.0000,131.4266
98.0000,131.2947
100.0000,131.2518
102.0000,131.2947
104.0000,131.4266
106.0000,131.6572
108.0000,132.0160
110.0000,132.7527
112.0000,132.9939
112.0209,133.0000
114.0000,133.4446
116.0000,134.1972
117.8302,135.0000
118.0000,135.0619
120.0000,135.9135
121.8554,137.0000
122.0000,137.0809
124.0000,138.6926
124.4385,139.0000
126.0000,139.8822
127.3277,141.0000
128.0000,141.6294
129.3168,143.0000
130.0000,143.8389
130.9257,145.0000
132.0000,146.9009
132.0627,147.0000
133.2819,149.0000
