X_um,Z_um
61.9292,147.0000
61.7266,149.0000
62.0000,146.6291
63.8442,141.0000
62.8673,143.0000
62.2655,145.0000
64.0000,140.6930
64.7684,139.0000
66.0000,137.1253
67.8324,135.0000
66.0839,137.0000
68.0000,134.8164
69.7540,133.0000
70.0000,132.7618
71.9129,131.0000
72.0000,130.9263
74.0000,129.2663
74.3984,129.0000
76.0000,127.9388
77.8899,127.0000
78.0000,126.9383
80.0000,125.7419
81.9498,125.0000
82.0000,124.9783
84.0000,124.0823
86.0000,123.4154
87.9632,123.0000
88.0000,122.9905
90.0000,122.6919
92.0000,122.0434
94.0000,121.6883
96.0000,121.4560
98.0000,121.3213
100.0000,121.2772
102.0000,121.3213
104.0000,121.4560
106.0000,121.6883
108.0000,122.0434
110.0000,122.6919
112.0000,122.9905
112.0368,123.0000
114.0000,123.4154
116.0000,124.0823
118.0000,124.9783
118.0502,125.0000
120.0000,125.7419
122.0000,126.9383
122.1101,127.0000
124.0000,127.9388
125.6016,129.0000
126.0000,129.2663
128.0000,130.9263
128.0871,131.0000
130.0000,132.7618
130.2460,133.0000
132.0000,134.8164
132.1676,135.0000
133.9161,137.0000
134.0000,137.1253
135.2316,139.0000
136.0000,140.6930
136.1558,141.0000
137.1327,143.0000
137.7345,145.0000
138.0000,146.6291
138.0708,147.0000
138.2734,149.0000
