X_um,Z_um
75.0000,131.1344
75.4637,131.0000
77.0000,130.2904
77.7921,129.0000
79.0000,128.1172
81.0000,127.8219
82.0104,127.0000
83.0000,126.3771
85.0000,125.7214
87.0000,125.4796
88.9535,125.0000
89.0000,124.9865
91.0000,123.9911
93.0000,123.7576
95.0000,123.7168
97.0000,123.8420
99.0000,123.7406
101.0000,123.7406
103.0000,123.8420
105.0000,123.7168
107.0000,123.7576
109.0000,123.9911
111.0000,124.9865
111.0465,125.0000
113.0000,125.4796
115.0000,125.7214
117.0000,126.3771
117.9896,127.0000
119.0000,127.8219
121.0000,128.1172
122.2079,129.0000
123.0000,130.2904
124.5363,131.0000
125.0000,131.1344
126.4245,133.0000
127.0000,133.4935
128.6739,135.0000
129.0000,135.3020
131.0000,135.6587
132.2869,137.0000
133.0000,137.8286
134.0136,139.0000
134.8022,141.0000
135.0000,141.1740
136.3586,143.0000
136.8761,145.0000
137.0000,145.1540
138.0866,147.0000
138.1608,149.0000
61.8392,149.0000
61.9134,147.0000
63.0000,145.1540
63.1239,145.0000
63.6414,143.0000
65.0000,141.1740
65.1978,141.0000
65.9864,139.0000
67.0000,137.8286
67.7131,137.0000
69.0000,135.6587
71.0000,135.3020
71.3261,135.0000
73.0000,133.4935
73.5755,133.0000
