X_um,Z_um
61.9809,149.0000
62.0000,148.9199
63.1002,145.0000
62.3846,147.0000
64.0000,143.1955
65.2536,141.0000
64.0909,143.0000
66.0000,139.8849
66.5586,139.0000
68.0000,137.1544
68.1275,137.0000
70.0000,135.0270
70.0281,135.0000
72.0000,133.2417
72.3106,133.0000
74.0000,131.7448
75.4824,131.0000
76.0000,130.6795
78.0000,129.2396
78.4735,129.0000
80.0000,128.1703
82.0000,127.3028
83.2037,127.0000
84.0000,126.7304
86.0000,125.7364
88.0000,125.1864
89.5628,125.0000
90.0000,124.9299
92.0000,124.6631
94.0000,124.0882
96.0000,123.8181
98.0000,123.6703
100.0000,123.6226
102.0000,123.6703
104.0000,123.8181
106.0000,124.0882
108.0000,124.6631
110.0000,124.9299
110.4372,125.0000
112.0000,125.1864
114.0000,125.7364
116.0000,126.7304
116.7963,127.0000
118.0000,127.3028
120.0000,128.1703
121.5265,129.0000
122.0000,129.2396
124.0000,130.6795
124.5176,131.0000
126.0000,131.7448
127.6894,133.0000
128.0000,133.2417
129.9719,135.0000
130.0000,135.0270
131.8725,137.0000
132.0000,137.1544
133.4414,139.0000
134.0000,139.8849
134.7464,141.0000
135.9091,143.0000
136.0000,143.1955
136.8998,145.0000
137.6154,147.0000
138.0000,148.9199
138.0191,149.0000
