X_um,Z_um
53.9654,145.0000
53.8116,147.0000
53.7034,149.0000
54.0000,144.7746
55.7331,139.0000
54.7232,141.0000
54.2015,143.0000
56.0000,138.1984
57.2136,135.0000
56.2838,137.0000
58.0000,133.5223
59.6670,131.0000
58.2401,133.0000
60.0000,130.3575
61.9200,127.0000
60.5003,129.0000
62.0000,126.8706
62.9150,125.0000
64.0000,123.2518
65.5772,121.0000
64.1356,123.0000
66.0000,120.1035
67.6819,117.0000
66.3422,119.0000
68.0000,116.2011
69.2378,113.0000
68.2995,115.0000
70.0000,111.2719
71.9397,107.0000
70.8317,109.0000
70.0860,111.0000
72.0000,106.8622
73.8468,103.0000
72.5599,105.0000
74.0000,102.6648
75.8880,99.0000
74.4804,101.0000
76.0000,98.8170
76.7503,97.0000
78.0000,95.2349
79.9231,93.0000
78.1392,95.0000
80.0000,92.9155
81.8452,91.0000
82.0000,90.8511
83.9138,89.0000
84.0000,88.9282
86.0000,87.1906
86.3257,87.0000
88.0000,85.8835
90.0000,85.0010
90.0033,85.0000
92.0000,84.0911
94.0000,83.4156
96.0000,83.0557
97.4902,83.0000
98.0000,82.9605
100.0000,82.9323
102.0000,82.9605
102.5098,83.0000
104.0000,83.0557
106.0000,83.4156
108.0000,84.0911
109.9967,85.0000
110.0000,85.0010
112.0000,85.8835
113.6743,87.0000
114.0000,87.1906
116.0000,88.9283
116.0862,89.0000
118.0000,90.8511
118.1548,91.0000
120.0000,92.9155
120.0769,93.0000
121.8608,95.0000
122.0000,95.2349
123.2497,97.0000
124.0000,98.8171
124.1120,99.0000
125.5196,101.0000
126.0000,102.6648
126.1532,103.0000
127.4401,105.0000
128.0000,106.8622
128.0602,107.0000
129.1683,109.0000
129.9140,111.0000
130.0000,111.2719
130.7622,113.0000
131.7005,115.0000
132.0000,116.2012
132.3181,117.0000
133.6578,119.0000
134.0000,120.1037
134.4227,121.0000
135.8644,123.0000
136.0000,123.2518
137.0850,125.0000
138.0000,126.8706
138.0799,127.0000
139.4997,129.0000
140.0000,130.3575
140.3330,131.0000
141.7599,133.0000
142.0000,133.5223
142.7864,135.0000
143.7162,137.0000
144.0000,138.1984
144.2669,139.0000
145.2768,141.0000
145.7985,143.0000
146.0000,144.7746
146.0346,145.0000
146.1884,147.0000
146.2966,149.0000
