X_um,Z_um
57.5932,137.0000
56.9521,139.0000
56.7047,141.0000
56.7420,143.0000
57.0857,145.0000
57.8984,147.0000
58.0000,147.1707
58.0000,135.4389
59.9919,131.0000
58.8188,133.0000
58.0883,135.0000
58.8311,149.0000
60.0000,130.9881
61.4253,129.0000
62.0000,128.2191
62.7792,127.0000
64.0000,125.5390
64.4838,125.0000
66.0000,123.4912
66.5439,123.0000
68.0000,121.7855
69.1706,121.0000
70.0000,120.3704
71.9156,119.0000
72.0000,118.9388
74.0000,117.5402
75.4465,117.0000
76.0000,116.7317
78.0000,115.4728
79.5802,115.0000
80.0000,114.8369
82.0000,113.7677
84.0000,113.1617
85.1927,113.0000
86.0000,112.8444
88.0000,112.0592
90.0000,111.5704
92.0000,111.2080
93.9680,111.0000
94.0000,110.9956
96.0000,110.9346
98.0000,110.8820
100.0000,110.8632
102.0000,110.8820
104.0000,110.9346
106.0000,110.9956
106.0320,111.0000
108.0000,111.2080
110.0000,111.5704
112.0000,112.0592
114.0000,112.8444
114.8073,113.0000
116.0000,113.1617
118.0000,113.7677
120.0000,114.8369
120.4198,115.0000
122.0000,115.4728
124.0000,116.7318
124.5535,117.0000
126.0000,117.5402
128.0000,118.9388
128.0844,119.0000
130.0000,120.3704
130.8294,121.0000
132.0000,121.7855
133.4561,123.0000
134.0000,123.4912
135.5162,125.0000
136.0000,125.5390
137.2208,127.0000
138.0000,128.2191
138.5747,129.0000
140.0000,130.9881
140.0081,131.0000
141.1812,133.0000
141.9117,135.0000
141.1689,149.0000
142.0000,147.1707
142.0000,135.4390
142.4067,137.0000
143.0479,139.0000
143.2953,141.0000
143.2580,143.0000
142.9143,145.0000
142.1016,147.0000
