X_um,Z_um
65.8076,149.0000
66.0000,148.2401
67.2223,145.0000
66.2310,147.0000
68.0000,143.8630
68.5551,143.0000
70.0000,141.2859
70.2612,141.0000
72.0000,139.3472
72.4199,139.0000
74.0000,137.7669
75.6064,137.0000
76.0000,136.7516
78.0000,135.2396
78.5178,135.0000
80.0000,134.1991
82.0000,133.3029
83.4604,133.0000
84.0000,132.8321
86.0000,131.7795
88.0000,131.2292
89.8246,131.0000
90.0000,130.9674
92.0000,130.7969
94.0000,130.2141
96.0000,129.9469
98.0000,129.7964
100.0000,129.7483
102.0000,129.7964
104.0000,129.9469
106.0000,130.2141
108.0000,130.7969
110.0000,130.9674
110.1754,131.0000
112.0000,131.2292
114.0000,131.7795
116.0000,132.8321
116.5396,133.0000
118.0000,133.3029
120.0000,134.1991
121.4822,135.0000
122.0000,135.2396
124.0000,136.7516
124.3936,137.0000
126.0000,137.7669
127.5801,139.0000
128.0000,139.3472
129.7388,141.0000
130.0000,141.2859
131.4449,143.0000
132.0000,143.8630
132.7777,145.0000
133.7690,147.0000
134.0000,148.2401
134.1924,149.0000
