X_um,Z_um
61.4154,141.0000
60.6934,143.0000
60.3411,145.0000
60.3030,147.0000
60.6051,149.0000
62.0000,139.6560
63.4344,137.0000
62.2454,139.0000
64.0000,136.1254
64.6385,135.0000
66.0000,133.2399
66.1981,133.0000
68.0000,131.1170
68.1226,131.0000
70.0000,129.3301
70.4242,129.0000
72.0000,127.8069
73.6193,127.0000
74.0000,126.7577
76.0000,125.2643
76.5386,125.0000
78.0000,124.1921
80.0000,123.2754
81.1752,123.0000
82.0000,122.7195
84.0000,121.6145
86.0000,121.0697
86.7631,121.0000
88.0000,120.8276
90.0000,120.0837
92.0000,119.6575
94.0000,119.3546
96.0000,119.1522
98.0000,119.0364
99.9911,119.0000
100.0000,118.9998
100.0089,119.0000
102.0000,119.0364
104.0000,119.1522
106.0000,119.3546
108.0000,119.6575
110.0000,120.0837
112.0000,120.8276
113.2369,121.0000
114.0000,121.0697
116.0000,121.6145
118.0000,122.7195
118.8248,123.0000
120.0000,123.2754
122.0000,124.1921
123.4614,125.0000
124.0000,125.2643
126.0000,126.7577
126.3807,127.0000
128.0000,127.8069
129.5758,129.0000
130.0000,129.3301
131.8774,131.0000
132.0000,131.1170
133.8019,133.0000
134.0000,133.2399
135.3615,135.0000
136.0000,136.1254
136.5655,137.0000
137.7546,139.0000
138.0000,139.6560
138.5846,141.0000
139.3066,143.0000
139.6589,145.0000
139.6970,147.0000
139.3949,149.0000
